state,year,cigsale,lnincome,beer,age15to24,retprice
Alabama,1970.0,89.8,,,0.17886178,39.6
Alabama,1971.0,95.4,,,0.17992784,42.7
Alabama,1972.0,101.1,9.498476,,0.18099389999999999,42.3
Alabama,1973.0,102.9,9.550107,,0.18205994,42.1
Alabama,1974.0,108.2,9.537163,,0.183126,43.1
Alabama,1975.0,111.7,9.540030999999999,,0.18419206,46.6
Alabama,1976.0,116.2,9.5919075,,0.18525812,50.4
Alabama,1977.0,117.1,9.617496000000001,,0.18632418,50.1
Alabama,1978.0,123.0,9.654072,,0.18739022,55.1
Alabama,1979.0,121.4,9.64918,,0.18845628,56.8
Alabama,1980.0,123.2,9.612194,,0.18952234,60.6
Alabama,1981.0,119.6,9.609594,,0.18584223,68.8
Alabama,1982.0,119.1,9.59758,,0.18216212,73.1
Alabama,1983.0,116.3,9.626769,,0.17848201,84.4
Alabama,1984.0,113.0,9.671621,18.0,0.1748019,90.8
Alabama,1985.0,114.5,9.703192999999999,18.7,0.17112179,99.0
Alabama,1986.0,116.3,9.74595,19.3,0.16744168,103.0
Alabama,1987.0,114.0,9.762091999999999,19.4,0.16376157,110.0
Alabama,1988.0,112.1,9.78177,19.4,0.16008146,114.4
Alabama,1989.0,105.6,9.802527,19.4,0.15640135,122.3
Alabama,1990.0,108.6,9.81429,20.1,0.15272124,139.1
Alabama,1991.0,107.9,9.81926,20.1,,144.4
Alabama,1992.0,109.1,9.845286,20.4,,172.2
Alabama,1993.0,108.5,9.852160000000001,20.3,,176.2
Alabama,1994.0,107.1,9.879334,21.0,,154.6
Alabama,1995.0,102.6,9.924404,20.6,,155.1
Alabama,1996.0,101.4,9.940027,21.0,,158.3
Alabama,1997.0,104.9,9.93727,20.8,,167.4
Alabama,1998.0,106.2,,,,180.5
Alabama,1999.0,100.7,,,,195.6
Alabama,2000.0,96.2,,,,270.7
Arkansas,1970.0,100.3,,,0.16900676,36.7
Arkansas,1971.0,104.1,,,0.16995385,38.8
Arkansas,1972.0,103.9,9.464514,,0.17090096,44.1
Arkansas,1973.0,108.0,9.55683,,0.17184804,45.1
Arkansas,1974.0,109.7,9.542286,,0.17279513,45.5
Arkansas,1975.0,114.8,9.514094,,0.17374223,48.6
Arkansas,1976.0,119.1,9.558152999999999,,0.17468932,50.9
Arkansas,1977.0,122.6,9.590923,,0.17563641,52.6
Arkansas,1978.0,127.3,9.657238000000001,,0.1765835,56.5
Arkansas,1979.0,126.5,9.6335335,,0.1775306,58.4
Arkansas,1980.0,131.8,9.573803,,0.17847769,61.5
Arkansas,1981.0,128.7,9.593041,,0.17501111,64.7
Arkansas,1982.0,127.4,9.5737,,0.17154454,72.1
Arkansas,1983.0,128.0,9.593053,,0.16807795,82.0
Arkansas,1984.0,123.1,9.65044,17.9,0.16461137,93.6
Arkansas,1985.0,125.8,9.675527,18.1,0.16114479999999998,98.5
Arkansas,1986.0,126.0,9.705939,18.7,0.15767822,103.6
Arkansas,1987.0,122.3,9.705574,19.0,0.15421164,113.0
Arkansas,1988.0,121.5,9.721532,18.9,0.15074505,119.9
Arkansas,1989.0,118.3,9.7373705,19.0,0.14727847,127.7
Arkansas,1990.0,113.1,9.736311,19.9,0.1438119,141.2
Arkansas,1991.0,116.8,9.743068,19.9,,146.5
Arkansas,1992.0,126.0,9.788629,20.0,,177.3
Arkansas,1993.0,113.8,9.785142,19.7,,179.9
Arkansas,1994.0,108.8,9.813630999999999,19.7,,168.1
Arkansas,1995.0,113.0,9.864460000000001,19.5,,167.3
Arkansas,1996.0,110.7,9.885234,20.1,,167.1
Arkansas,1997.0,108.7,9.883107,19.8,,181.3
Arkansas,1998.0,109.5,,,,187.3
Arkansas,1999.0,104.8,,,,206.9
Arkansas,2000.0,99.4,,,,279.3
California,1970.0,123.0,,,0.17815833,38.8
California,1971.0,121.0,,,0.17929636,39.7
California,1972.0,123.5,9.930814,,0.18043439,39.9
California,1973.0,124.4,9.955092,,0.18157241,39.9
California,1974.0,126.7,9.947999000000001,,0.18271044,41.9
California,1975.0,127.1,9.937167,,0.18384847,45.0
California,1976.0,128.0,9.976858,,0.1849865,48.3
California,1977.0,126.4,10.0027,,0.18612453,49.0
California,1978.0,126.1,10.045565,,0.18726255,58.7
California,1979.0,121.9,10.0546875,,0.18840058,60.1
California,1980.0,120.2,10.037841,,0.18953861,62.1
California,1981.0,118.6,10.028626,,0.18553706,66.4
California,1982.0,115.4,10.01253,,0.1815355,72.8
California,1983.0,110.8,10.031737,,0.17753394,84.9
California,1984.0,104.8,10.075358999999999,25.0,0.17353238,94.9
California,1985.0,102.8,10.099703,24.0,0.16953082,98.0
California,1986.0,99.7,10.127267,24.7,0.16552927,104.4
California,1987.0,97.5,10.134300999999999,24.1,0.16152771,103.9
California,1988.0,90.1,10.141663000000001,23.6,0.15752615,117.4
California,1989.0,82.4,10.142313,23.7,0.15352459,126.4
California,1990.0,77.8,10.141623,23.8,0.14952303,163.8
California,1991.0,68.7,10.110714,22.3,,186.8
California,1992.0,67.5,10.114939,21.3,,201.9
California,1993.0,63.4,10.098497,20.8,,205.1
California,1994.0,58.6,10.099508,20.1,,190.3
California,1995.0,56.4,10.155916,19.7,,195.1
California,1996.0,54.5,10.178637,19.1,,197.9
California,1997.0,53.8,10.175189999999999,19.5,,200.3
California,1998.0,52.3,,,,207.8
California,1999.0,47.2,,,,224.9
California,2000.0,41.6,,,,351.2
Colorado,1970.0,124.8,,,0.19095023,29.4
Colorado,1971.0,125.5,,,0.19164759,31.1
Colorado,1972.0,134.3,9.805548,,0.19234496,31.2
Colorado,1973.0,137.9,9.848413,,0.19304232,32.7
Colorado,1974.0,132.8,9.840451,,0.19373968,38.1
Colorado,1975.0,131.0,9.828461,,0.19443706,41.7
Colorado,1976.0,134.2,9.858913000000001,,0.19513442,44.8
Colorado,1977.0,132.0,9.888447,,0.19583178,44.7
Colorado,1978.0,129.2,9.933750999999999,,0.19652914,57.4
Colorado,1979.0,131.5,9.942219999999999,,0.19722651,52.8
Colorado,1980.0,131.0,9.943612,,0.19792387,54.6
Colorado,1981.0,133.8,9.9572735,,0.19186871,58.1
Colorado,1982.0,130.5,9.962617,,0.18581356,61.4
Colorado,1983.0,125.3,9.978036999999999,,0.17975839999999998,73.3
Colorado,1984.0,119.7,10.002046,25.7,0.17370325,83.4
Colorado,1985.0,112.4,10.000779,25.2,0.16764809,93.1
Colorado,1986.0,109.9,10.001593,25.5,0.16159293,95.1
Colorado,1987.0,102.4,9.994427,24.8,0.15553778,108.6
Colorado,1988.0,94.6,10.018831,24.2,0.14948262,116.0
Colorado,1989.0,88.8,10.043063,23.9,0.14342748,130.8
Colorado,1990.0,87.4,10.046251,24.2,0.13737231,149.3
Colorado,1991.0,90.2,10.054761,23.5,,152.6
Colorado,1992.0,88.3,10.0663395,23.7,,157.5
Colorado,1993.0,88.6,10.079669,23.5,,168.2
Colorado,1994.0,89.1,10.097464,23.1,,153.2
Colorado,1995.0,85.4,10.16635,24.4,,164.2
Colorado,1996.0,83.1,10.191436999999999,24.8,,169.6
Colorado,1997.0,81.3,10.203896499999999,24.0,,174.4
Colorado,1998.0,81.2,,,,185.8
Colorado,1999.0,79.6,,,,204.2
Colorado,2000.0,73.0,,,,281.3
Connecticut,1970.0,120.0,,,0.16292876,42.2
Connecticut,1971.0,117.6,,,0.1646539,45.5
Connecticut,1972.0,110.8,9.981137,,0.16637905,51.3
Connecticut,1973.0,109.3,10.012989,,0.16810419,50.6
Connecticut,1974.0,112.4,9.988535,,0.16982932,52.5
Connecticut,1975.0,110.2,9.960749,,0.17155448,54.5
Connecticut,1976.0,113.4,9.993227000000001,,0.17327961,57.6
Connecticut,1977.0,117.3,10.028069,,0.17500475,58.4
Connecticut,1978.0,117.5,10.063203,,0.17672989,61.7
Connecticut,1979.0,117.4,10.075508000000001,,0.17845504,64.4
Connecticut,1980.0,118.0,10.074763,,0.18018018,67.0
Connecticut,1981.0,116.4,10.079572,,0.17605005,80.1
Connecticut,1982.0,114.7,10.090163,,0.17191993,85.6
Connecticut,1983.0,114.1,10.12007,,0.16778982,95.6
Connecticut,1984.0,112.5,10.181597,20.3,0.16365969,113.5
Connecticut,1985.0,111.0,10.212917,20.8,0.15952957,118.6
Connecticut,1986.0,108.5,10.268609,20.6,0.15539944,118.5
Connecticut,1987.0,109.0,10.309229,21.1,0.15126932,122.7
Connecticut,1988.0,104.8,10.355395,20.7,0.1471392,129.7
Connecticut,1989.0,100.6,10.366524,19.8,0.14300908,142.0
Connecticut,1990.0,91.5,10.349302,19.8,0.13887896,171.2
Connecticut,1991.0,86.7,10.324137,18.7,,175.6
Connecticut,1992.0,83.5,10.343842500000001,18.3,,193.5
Connecticut,1993.0,79.1,10.343544,17.9,,202.3
Connecticut,1994.0,76.6,10.361299,17.9,,205.6
Connecticut,1995.0,79.3,10.451002,17.6,,205.4
Connecticut,1996.0,76.0,10.474495,17.2,,206.3
Connecticut,1997.0,75.9,10.486616999999999,17.5,,208.5
Connecticut,1998.0,75.5,,,,217.9
Connecticut,1999.0,73.4,,,,236.5
Connecticut,2000.0,71.4,,,,312.3
Delaware,1970.0,155.0,,,0.17335767,39.0
Delaware,1971.0,161.1,,,0.17588721,41.3
Delaware,1972.0,156.3,9.909930000000001,,0.17841677,44.7
Delaware,1973.0,154.7,9.948177000000001,,0.18094632,44.0
Delaware,1974.0,151.3,9.918258,,0.18347588,44.2
Delaware,1975.0,147.6,9.887531,,0.18600543,45.9
Delaware,1976.0,153.0,9.920685,,0.18853498,50.1
Delaware,1977.0,153.3,9.933779,,0.19106454,51.7
Delaware,1978.0,155.5,9.944127,,0.19359408,58.7
Delaware,1979.0,150.2,9.926103999999999,,0.19612364,60.0
Delaware,1980.0,150.5,9.913744,,0.19865319,62.7
Delaware,1981.0,152.6,9.901392999999999,,0.19354601,66.0
Delaware,1982.0,154.1,9.904337,,0.18843885,74.1
Delaware,1983.0,149.6,9.934576,,0.18333167,82.0
Delaware,1984.0,144.0,9.962282,26.6,0.17822449999999998,91.1
Delaware,1985.0,144.5,9.996334,26.2,0.17311732,98.7
Delaware,1986.0,142.4,10.032092,26.0,0.16801015,105.2
Delaware,1987.0,141.0,10.048571,25.9,0.16290298,111.4
Delaware,1988.0,137.1,10.077722,25.7,0.15779579999999999,119.3
Delaware,1989.0,131.7,10.103605,24.9,0.15268864,124.0
Delaware,1990.0,127.2,10.094804,25.8,0.14758146,140.0
Delaware,1991.0,118.8,10.083064,24.9,,143.2
Delaware,1992.0,120.0,10.091464,25.2,,174.7
Delaware,1993.0,123.8,10.092083,26.2,,187.9
Delaware,1994.0,126.1,10.131247,25.9,,152.5
Delaware,1995.0,127.2,10.229652999999999,24.6,,160.7
Delaware,1996.0,128.3,10.262393,24.6,,169.1
Delaware,1997.0,124.1,10.261678,24.9,,171.9
Delaware,1998.0,132.8,,,,179.2
Delaware,1999.0,139.5,,,,198.3
Delaware,2000.0,140.7,,,,276.2
Georgia,1970.0,109.9,,,0.1874455,34.3
Georgia,1971.0,115.7,,,0.18786626,35.8
Georgia,1972.0,117.0,9.63889,,0.18828699,40.9
Georgia,1973.0,119.8,9.684865,,0.18870774,42.4
Georgia,1974.0,123.7,9.659981,,0.18912847,42.4
Georgia,1975.0,122.9,9.629609,,0.18954922,44.5
Georgia,1976.0,125.9,9.67143,,0.18996997,47.9
Georgia,1977.0,127.9,9.693337,,0.19039070000000002,49.5
Georgia,1978.0,130.6,9.736651,,0.19081146,54.7
Georgia,1979.0,131.0,9.729302,,0.19123219,56.6
Georgia,1980.0,134.0,9.701445,,0.19165294,59.3
Georgia,1981.0,131.7,9.704944,,0.18797573,62.6
Georgia,1982.0,131.2,9.707344,,0.18429853,67.8
Georgia,1983.0,128.6,9.755732,,0.18062133,78.9
Georgia,1984.0,126.3,9.82549,21.3,0.17694412,86.8
Georgia,1985.0,128.8,9.862127000000001,21.4,0.17326692,90.7
Georgia,1986.0,129.0,9.913809,22.1,0.16958973,100.1
Georgia,1987.0,129.3,9.930798,22.3,0.16591252,103.9
Georgia,1988.0,124.1,9.952863,21.7,0.16223532,109.2
Georgia,1989.0,117.1,9.953909,21.5,0.15855812,122.4
Georgia,1990.0,113.8,9.953298,22.3,0.15488091,132.3
Georgia,1991.0,109.6,9.941865,21.2,,138.2
Georgia,1992.0,109.2,9.958565,21.6,,159.5
Georgia,1993.0,109.2,9.967872999999999,21.7,,167.2
Georgia,1994.0,107.8,9.9982395,21.4,,147.8
Georgia,1995.0,100.3,10.055438,21.5,,153.8
Georgia,1996.0,102.7,10.079771000000001,22.0,,156.1
Georgia,1997.0,100.6,10.081408,21.6,,158.9
Georgia,1998.0,100.5,,,,168.7
Georgia,1999.0,97.1,,,,188.0
Georgia,2000.0,88.4,,,,257.4
Idaho,1970.0,102.4,,,0.17812061,33.8
Idaho,1971.0,108.5,,,0.17609245,33.6
Idaho,1972.0,126.1,9.651839,,0.17406429999999998,33.7
Idaho,1973.0,121.8,9.721051,,0.17203613,36.3
Idaho,1974.0,125.6,9.746263,,0.17000796,38.0
Idaho,1975.0,123.3,9.692200999999999,,0.16797979999999998,40.3
Idaho,1976.0,125.1,9.731100999999999,,0.16595164,42.5
Idaho,1977.0,125.0,9.726507000000002,,0.16392347,45.6
Idaho,1978.0,122.8,9.768933,,0.1618953,51.5
Idaho,1979.0,117.5,9.737336,,0.15986715,55.4
Idaho,1980.0,115.2,9.711496,,0.15783899,56.4
Idaho,1981.0,114.1,9.684898,,0.15638342,59.2
Idaho,1982.0,111.5,9.645257,,0.15492785,67.6
Idaho,1983.0,111.3,9.694544,,0.15347229,76.5
Idaho,1984.0,103.6,9.707316,23.2,0.15201671,88.5
Idaho,1985.0,100.7,9.715257000000001,22.3,0.15056115,97.6
Idaho,1986.0,96.7,9.736214,22.5,0.1491056,99.9
Idaho,1987.0,95.0,9.740723,22.0,0.14765002,107.1
Idaho,1988.0,84.5,9.766003999999999,21.1,0.14619446,121.9
Idaho,1989.0,78.4,9.827927,21.6,0.14473888,133.6
Idaho,1990.0,90.1,9.839928,22.9,0.14328332,141.3
Idaho,1991.0,85.4,9.835094,22.2,,144.4
Idaho,1992.0,85.1,9.85615,22.6,,167.2
Idaho,1993.0,86.7,9.877363,21.8,,171.2
Idaho,1994.0,93.0,9.903079,21.4,,150.5
Idaho,1995.0,78.2,9.919678999999999,20.1,,163.5
Idaho,1996.0,73.6,9.933634,20.6,,176.5
Idaho,1997.0,75.0,9.921952000000001,20.1,,184.4
Idaho,1998.0,78.9,,,,187.1
Idaho,1999.0,75.1,,,,210.7
Idaho,2000.0,66.9,,,,275.9
Illinois,1970.0,124.8,,,0.16696669,41.4
Illinois,1971.0,125.6,,,0.1689976,41.4
Illinois,1972.0,126.6,9.908161,,0.17102851,41.9
Illinois,1973.0,124.4,9.961596499999999,,0.1730594,41.0
Illinois,1974.0,131.9,9.946315,,0.17509031,41.9
Illinois,1975.0,131.8,9.93419,,0.17712122,45.2
Illinois,1976.0,134.4,9.965498,,0.17915213,48.4
Illinois,1977.0,134.0,9.996949,,0.18118304,49.4
Illinois,1978.0,136.7,10.023603,,0.18321393,54.6
Illinois,1979.0,135.3,10.013675,,0.18524484,56.8
Illinois,1980.0,135.2,9.962172500000001,,0.18727575,60.0
Illinois,1981.0,133.0,9.965017,,0.1830271,63.1
Illinois,1982.0,130.7,9.944979,,0.17877847,69.6
Illinois,1983.0,127.9,9.954803,,0.17452982,80.8
Illinois,1984.0,124.0,10.003144,24.6,0.17028119,89.6
Illinois,1985.0,121.6,10.020819,24.3,0.16603254,96.7
Illinois,1986.0,118.2,10.0553,24.7,0.16178389,108.4
Illinois,1987.0,109.5,10.067755,25.1,0.15753525,116.2
Illinois,1988.0,107.6,10.087956,25.0,0.1532866,124.1
Illinois,1989.0,104.6,10.113907000000001,24.4,0.14903797,132.7
Illinois,1990.0,94.1,10.116749,25.7,0.14478932,147.3
Illinois,1991.0,96.1,10.098239,24.4,,154.0
Illinois,1992.0,94.8,10.123287,23.8,,179.8
Illinois,1993.0,94.6,10.127834,23.5,,187.5
Illinois,1994.0,85.7,10.154192,23.6,,182.1
Illinois,1995.0,84.3,10.200355,23.2,,185.2
Illinois,1996.0,81.8,10.224244,22.9,,188.7
Illinois,1997.0,79.6,10.236586,22.9,,198.7
Illinois,1998.0,80.3,,,,202.3
Illinois,1999.0,72.2,,,,240.5
Illinois,2000.0,70.0,,,,312.7
Indiana,1970.0,134.6,,,0.17651588,30.6
Indiana,1971.0,139.3,,,0.17797175,32.2
Indiana,1972.0,149.2,9.731873,,0.17942764,32.5
Indiana,1973.0,156.0,9.806883000000001,,0.18088353,32.9
Indiana,1974.0,159.6,9.763185,,0.1823394,34.5
Indiana,1975.0,162.4,9.743661,,0.18379527,36.7
Indiana,1976.0,166.6,9.798755,,0.18525116,38.7
Indiana,1977.0,173.0,9.833314999999999,,0.18670705,40.6
Indiana,1978.0,150.9,9.865232,,0.18816292,50.0
Indiana,1979.0,148.9,9.851489,,0.18961879999999998,52.5
Indiana,1980.0,146.9,9.795776,,0.19107468,53.7
Indiana,1981.0,148.5,9.78815,,0.18707843,58.3
Indiana,1982.0,147.7,9.757753999999998,,0.18308216,65.1
Indiana,1983.0,143.0,9.775058,,0.17908591,75.7
Indiana,1984.0,137.8,9.829457000000001,22.0,0.17508966,85.2
Indiana,1985.0,135.3,9.844302,22.0,0.1710934,88.8
Indiana,1986.0,137.6,9.882232,22.1,0.16709714,93.6
Indiana,1987.0,134.0,9.897043,21.9,0.16310088,100.1
Indiana,1988.0,134.0,9.915045,21.9,0.15910463,109.3
Indiana,1989.0,132.5,9.936582000000001,21.5,0.15510836,119.0
Indiana,1990.0,128.3,9.935141999999999,22.4,0.15111211,130.8
Indiana,1991.0,127.2,9.921082499999999,21.6,,135.8
Indiana,1992.0,128.2,9.953797,20.7,,153.5
Indiana,1993.0,126.8,9.965633,20.5,,157.5
Indiana,1994.0,128.2,10.001348,20.6,,146.6
Indiana,1995.0,135.4,10.043711,20.1,,146.3
Indiana,1996.0,135.1,10.060887,20.3,,147.8
Indiana,1997.0,135.3,10.0521145,20.3,,156.3
Indiana,1998.0,135.9,,,,166.8
Indiana,1999.0,133.3,,,,190.0
Indiana,2000.0,125.5,,,,260.2
Iowa,1970.0,108.5,,,0.16884956,37.7
Iowa,1971.0,108.4,,,0.17083900000000002,38.5
Iowa,1972.0,109.4,9.730265,,0.17282845,41.9
Iowa,1973.0,110.6,9.858372,,0.17481789,41.9
Iowa,1974.0,116.1,9.788277,,0.17680733,43.2
Iowa,1975.0,120.5,9.800288,,0.17879677,45.4
Iowa,1976.0,124.4,9.803332000000001,,0.18078622,47.8
Iowa,1977.0,125.5,9.839319999999999,,0.18277566,49.4
Iowa,1978.0,127.1,9.914183999999999,,0.18476510000000002,54.6
Iowa,1979.0,124.2,9.881053,,0.18675455,56.4
Iowa,1980.0,124.6,9.810102,,0.188744,58.8
Iowa,1981.0,132.9,9.838683999999999,,0.18403523,61.4
Iowa,1982.0,116.2,9.795305,,0.17932646,72.8
Iowa,1983.0,115.6,9.783572,,0.17461771,84.0
Iowa,1984.0,111.2,9.831582000000001,23.9,0.16990894,93.3
Iowa,1985.0,109.4,9.839345,22.9,0.16520017,99.5
Iowa,1986.0,104.1,9.870234,23.3,0.1604914,104.8
Iowa,1987.0,101.1,9.887944000000001,23.1,0.15578264,117.1
Iowa,1988.0,100.2,9.875571,23.0,0.15107389,124.2
Iowa,1989.0,94.4,9.915924,22.7,0.14636512,145.1
Iowa,1990.0,95.4,9.927806,23.6,0.14165635,149.6
Iowa,1991.0,97.1,9.911109,23.5,,155.4
Iowa,1992.0,95.2,9.942480999999999,23.3,,178.5
Iowa,1993.0,92.5,9.920983,23.0,,189.7
Iowa,1994.0,93.4,9.996867,23.3,,171.4
Iowa,1995.0,93.0,10.001849,22.7,,179.0
Iowa,1996.0,94.0,10.0490055,23.1,,183.8
Iowa,1997.0,93.9,10.049283,23.3,,189.3
Iowa,1998.0,94.0,,,,193.8
Iowa,1999.0,91.7,,,,213.0
Iowa,2000.0,88.9,,,,286.3
Kansas,1970.0,114.0,,,0.18052468,34.2
Kansas,1971.0,102.8,,,0.18155004,38.9
Kansas,1972.0,111.0,9.768118,,0.1825754,38.8
Kansas,1973.0,115.2,9.838229,,0.18360078,39.3
Kansas,1974.0,118.6,9.810897,,0.18462615,40.2
Kansas,1975.0,123.4,9.800612,,0.18565151,42.7
Kansas,1976.0,127.7,9.830625999999999,,0.18667687,46.6
Kansas,1977.0,127.9,9.848077,,0.18770224,48.1
Kansas,1978.0,127.1,9.875605,,0.18872762,52.6
Kansas,1979.0,126.4,9.903797,,0.18975298,54.8
Kansas,1980.0,127.1,9.862444,,0.19077834,58.3
Kansas,1981.0,132.0,9.877179,,0.18572941,59.8
Kansas,1982.0,130.9,9.881304,,0.1806805,65.1
Kansas,1983.0,127.6,9.885566,,0.17563158,77.0
Kansas,1984.0,121.7,9.916464999999999,20.7,0.17058265,91.0
Kansas,1985.0,115.7,9.935948,20.1,0.16553372,97.5
Kansas,1986.0,109.4,9.961418,19.9,0.16048479999999998,103.0
Kansas,1987.0,105.2,9.962819999999999,19.7,0.15543589,114.5
Kansas,1988.0,103.2,9.969702999999999,19.3,0.15038696,123.9
Kansas,1989.0,96.5,9.962953,19.4,0.14533803,136.5
Kansas,1990.0,94.3,9.983666,19.7,0.14028911,145.8
Kansas,1991.0,91.8,9.976417999999999,20.0,,152.7
Kansas,1992.0,90.0,9.998267,19.2,,174.2
Kansas,1993.0,89.9,10.002069,19.4,,174.2
Kansas,1994.0,89.1,10.026579,19.5,,159.6
Kansas,1995.0,90.1,10.044953999999999,19.1,,165.7
Kansas,1996.0,88.7,10.076406,18.9,,167.7
Kansas,1997.0,89.2,10.087141,19.7,,171.3
Kansas,1998.0,87.6,,,,184.3
Kansas,1999.0,83.3,,,,207.0
Kansas,2000.0,79.8,,,,271.2
Kentucky,1970.0,155.8,,,0.18131015,28.3
Kentucky,1971.0,163.5,,,0.18229958,30.1
Kentucky,1972.0,179.4,9.5474825,,0.18328904,30.6
Kentucky,1973.0,201.9,9.598115,,0.18427849,30.6
Kentucky,1974.0,212.4,9.600525,,0.18526793,31.5
Kentucky,1975.0,223.0,9.579324,,0.18625736,33.3
Kentucky,1976.0,230.9,9.624857,,0.18724681,36.0
Kentucky,1977.0,229.4,9.672666,,0.18823627,36.9
Kentucky,1978.0,224.7,9.703743,,0.1892257,41.4
Kentucky,1979.0,214.9,9.70251,,0.19021514,43.4
Kentucky,1980.0,215.3,9.661359,,0.1912046,46.3
Kentucky,1981.0,209.7,9.665572000000001,,0.18725346,49.4
Kentucky,1982.0,210.6,9.65426,,0.18330234,56.3
Kentucky,1983.0,201.1,9.642764999999999,,0.17935121,66.4
Kentucky,1984.0,183.2,9.699555,18.5,0.17540008,75.4
Kentucky,1985.0,182.4,9.703631,18.9,0.17144895,79.3
Kentucky,1986.0,179.8,9.729917,19.2,0.16749783,85.4
Kentucky,1987.0,171.2,9.739725,19.0,0.16354670000000002,90.5
Kentucky,1988.0,173.2,9.758579,19.1,0.15959556,94.4
Kentucky,1989.0,171.6,9.787341,18.3,0.15564445,103.8
Kentucky,1990.0,182.5,9.804601,20.1,0.15169331,115.6
Kentucky,1991.0,170.4,9.808981,19.4,,120.5
Kentucky,1992.0,167.6,9.841689,19.0,,135.8
Kentucky,1993.0,167.6,9.84325,19.3,,145.4
Kentucky,1994.0,170.1,9.8684,19.6,,132.8
Kentucky,1995.0,175.3,9.903476,18.9,,134.8
Kentucky,1996.0,179.0,9.927487,19.1,,139.8
Kentucky,1997.0,186.8,9.932178500000001,19.3,,145.6
Kentucky,1998.0,171.3,,,,155.7
Kentucky,1999.0,165.3,,,,179.2
Kentucky,2000.0,156.2,,,,243.4
Louisiana,1970.0,115.9,,,0.18518518,34.3
Louisiana,1971.0,119.8,,,0.18678078,39.3
Louisiana,1972.0,125.3,9.517364500000001,,0.18837638,40.0
Louisiana,1973.0,126.7,9.564111,,0.189972,39.9
Louisiana,1974.0,129.9,9.57982,,0.1915676,41.6
Louisiana,1975.0,133.6,9.585208,,0.1931632,44.3
Louisiana,1976.0,139.6,9.644328999999999,,0.1947588,48.1
Louisiana,1977.0,140.0,9.679078,,0.19635439999999998,48.9
Louisiana,1978.0,142.7,9.731681,,0.19795002,54.2
Louisiana,1979.0,140.1,9.737775,,0.19954562,57.1
Louisiana,1980.0,143.8,9.739491000000001,,0.20114122,60.0
Louisiana,1981.0,144.0,9.765061,,0.19634315,62.6
Louisiana,1982.0,143.9,9.753126,,0.19154507,70.3
Louisiana,1983.0,133.7,9.746861,,0.186747,80.7
Louisiana,1984.0,128.9,9.760681,23.8,0.18194892,90.7
Louisiana,1985.0,125.0,9.761660000000001,23.0,0.17715085,103.0
Louisiana,1986.0,121.2,9.740594,23.7,0.17235278,105.1
Louisiana,1987.0,116.5,9.716699,24.3,0.16755469,117.8
Louisiana,1988.0,110.9,9.744105000000001,24.6,0.16275662,120.4
Louisiana,1989.0,103.6,9.750066,24.4,0.15795854,130.7
Louisiana,1990.0,101.5,9.770264,26.4,0.15316047,143.4
Louisiana,1991.0,107.2,9.784423,26.1,,149.6
Louisiana,1992.0,108.5,9.805567,26.7,,178.1
Louisiana,1993.0,106.2,9.821536,26.5,,180.5
Louisiana,1994.0,105.3,9.860992999999999,27.1,,157.4
Louisiana,1995.0,105.7,9.910527,26.1,,155.8
Louisiana,1996.0,106.8,9.923664,26.5,,165.3
Louisiana,1997.0,105.3,9.926509,26.7,,166.9
Louisiana,1998.0,103.2,,,,185.9
Louisiana,1999.0,101.0,,,,208.0
Louisiana,2000.0,104.3,,,,281.2
Maine,1970.0,128.5,,,0.16901408,38.0
Maine,1971.0,133.2,,,0.17033489,38.8
Maine,1972.0,136.5,9.59714,,0.17165571,41.5
Maine,1973.0,138.0,9.647285,,0.17297652,41.0
Maine,1974.0,142.1,9.636234,,0.17429733,41.8
Maine,1975.0,140.7,9.60089,,0.17561814,46.7
Maine,1976.0,144.9,9.671687,,0.17693897,49.9
Maine,1977.0,145.6,9.678421,,0.17825978,50.9
Maine,1978.0,143.9,9.698808,,0.17958058,55.0
Maine,1979.0,138.5,9.694194,,0.18090141,54.5
Maine,1980.0,141.2,9.683053,,0.18222222,59.0
Maine,1981.0,138.9,9.679446,,0.17809658,62.9
Maine,1982.0,139.5,9.683565,,0.17397094,69.7
Maine,1983.0,135.4,9.724025,,0.16984531,80.8
Maine,1984.0,135.5,9.774763,22.1,0.16571967,93.7
Maine,1985.0,127.9,9.807659,22.2,0.16159403,98.1
Maine,1986.0,119.0,9.874089999999999,22.4,0.1574684,112.7
Maine,1987.0,125.0,9.911307,22.6,0.15334275,121.2
Maine,1988.0,125.0,9.944216,22.9,0.14921713,129.0
Maine,1989.0,122.4,9.967079,21.8,0.14509149,144.4
Maine,1990.0,117.5,9.949729,22.1,0.14096585,160.1
Maine,1991.0,116.1,9.924435,21.5,,165.8
Maine,1992.0,114.5,9.942132,20.8,,187.7
