Row,Day,Day.Of.Week,Date,Page.Loads,Unique.Visits,First.Time.Visits,Returning.Visits
1,Sunday,1,9/14/2014,"2,146","1,582","1,430",152
2,Monday,2,9/15/2014,"3,621","2,528","2,297",231
3,Tuesday,3,9/16/2014,"3,698","2,630","2,352",278
4,Wednesday,4,9/17/2014,"3,667","2,614","2,327",287
5,Thursday,5,9/18/2014,"3,316","2,366","2,130",236
6,Friday,6,9/19/2014,"2,815","1,863","1,622",241
7,Saturday,7,9/20/2014,"1,658","1,118",985,133
8,Sunday,1,9/21/2014,"2,288","1,656","1,481",175
9,Monday,2,9/22/2014,"3,638","2,586","2,312",274
10,Tuesday,3,9/23/2014,"4,462","3,257","2,989",268
11,Wednesday,4,9/24/2014,"4,414","3,175","2,891",284
12,Thursday,5,9/25/2014,"4,315","3,029","2,743",286
13,Friday,6,9/26/2014,"3,323","2,249","2,033",216
14,Saturday,7,9/27/2014,"1,656","1,180","1,040",140
15,Sunday,1,9/28/2014,"2,465","1,806","1,613",193
16,Monday,2,9/29/2014,"4,096","2,873","2,577",296
17,Tuesday,3,9/30/2014,"4,474","3,032","2,720",312
18,Wednesday,4,10/1/2014,"4,124","2,849","2,541",308
19,Thursday,5,10/2/2014,"3,514","2,489","2,239",250
20,Friday,6,10/3/2014,"3,005","2,097","1,856",241
21,Saturday,7,10/4/2014,"2,054","1,436","1,274",162
22,Sunday,1,10/5/2014,"2,847","1,913","1,713",200
23,Monday,2,10/6/2014,"4,501","3,181","2,853",328
24,Tuesday,3,10/7/2014,"4,603","3,163","2,804",359
25,Wednesday,4,10/8/2014,"4,187","3,014","2,663",351
26,Thursday,5,10/9/2014,"4,343","2,864","2,545",319
27,Friday,6,10/10/2014,"3,565","2,382","2,100",282
28,Saturday,7,10/11/2014,"2,080","1,457","1,280",177
29,Sunday,1,10/12/2014,"3,031","2,089","1,856",233
30,Monday,2,10/13/2014,"4,814","3,339","2,973",366
31,Tuesday,3,10/14/2014,"5,040","3,604","3,217",387
32,Wednesday,4,10/15/2014,"5,028","3,515","3,094",421
33,Thursday,5,10/16/2014,"4,658","3,331","2,955",376
34,Friday,6,10/17/2014,"3,624","2,477","2,148",329
35,Saturday,7,10/18/2014,"2,285","1,619","1,416",203
36,Sunday,1,10/19/2014,"3,454","2,346","2,060",286
37,Monday,2,10/20/2014,"5,307","3,717","3,308",409
38,Tuesday,3,10/21/2014,"5,135","3,701","3,280",421
39,Wednesday,4,10/22/2014,"5,084","3,611","3,177",434
40,Thursday,5,10/23/2014,"4,650","3,316","2,940",376
41,Friday,6,10/24/2014,"3,571","2,498","2,170",328
42,Saturday,7,10/25/2014,"2,354","1,661","1,417",244
43,Sunday,1,10/26/2014,"3,497","2,508","2,218",290
44,Monday,2,10/27/2014,"5,294","3,737","3,286",451
45,Tuesday,3,10/28/2014,"4,643","3,328","2,905",423
46,Wednesday,4,10/29/2014,"4,596","3,279","2,863",416
47,Thursday,5,10/30/2014,"4,162","3,041","2,657",384
48,Friday,6,10/31/2014,"2,933","2,007","1,728",279
49,Saturday,7,11/1/2014,"2,202","1,496","1,270",226
50,Sunday,1,11/2/2014,"3,083","2,204","1,940",264
51,Monday,2,11/3/2014,"4,376","3,057","2,629",428
52,Tuesday,3,11/4/2014,"4,704","3,141","2,739",402
53,Wednesday,4,11/5/2014,"4,306","3,200","2,797",403
54,Thursday,5,11/6/2014,"4,178","3,034","2,627",407
55,Friday,6,11/7/2014,"3,236","2,318","1,975",343
56,Saturday,7,11/8/2014,"2,010","1,536","1,345",191
57,Sunday,1,11/9/2014,"2,901","2,141","1,849",292
58,Monday,2,11/10/2014,"4,754","3,325","2,885",440
59,Tuesday,3,11/11/2014,"4,417","3,203","2,793",410
60,Wednesday,4,11/12/2014,"4,535","3,351","2,897",454
61,Thursday,5,11/13/2014,"4,274","3,194","2,758",436
62,Friday,6,11/14/2014,"3,382","2,423","2,061",362
63,Saturday,7,11/15/2014,"2,085","1,488","1,280",208
64,Sunday,1,11/16/2014,"3,083","2,215","1,926",289
65,Monday,2,11/17/2014,"4,860","3,559","3,069",490
66,Tuesday,3,11/18/2014,"4,893","3,570","3,133",437
67,Wednesday,4,11/19/2014,"4,866","3,544","3,056",488
68,Thursday,5,11/20/2014,"4,584","3,357","2,899",458
69,Friday,6,11/21/2014,"3,914","2,750","2,361",389
70,Saturday,7,11/22/2014,"2,431","1,716","1,463",253
71,Sunday,1,11/23/2014,"3,157","2,369","2,082",287
72,Monday,2,11/24/2014,"5,045","3,615","3,146",469
73,Tuesday,3,11/25/2014,"4,746","3,236","2,821",415
74,Wednesday,4,11/26/2014,"4,314","2,919","2,513",406
75,Thursday,5,11/27/2014,"3,663","2,476","2,162",314
76,Friday,6,11/28/2014,"3,270","2,268","1,931",337
77,Saturday,7,11/29/2014,"2,905","1,976","1,695",281
78,Sunday,1,11/30/2014,"4,016","2,832","2,489",343
79,Monday,2,12/1/2014,"5,266","3,877","3,317",560
80,Tuesday,3,12/2/2014,"5,795","4,274","3,700",574
81,Wednesday,4,12/3/2014,"5,728","4,217","3,656",561
82,Thursday,5,12/4/2014,"5,293","3,830","3,295",535
83,Friday,6,12/5/2014,"3,934","2,856","2,479",377
84,Saturday,7,12/6/2014,"3,071","2,165","1,855",310
85,Sunday,1,12/7/2014,"3,876","2,984","2,582",402
86,Monday,2,12/8/2014,"5,878","4,375","3,829",546
87,Tuesday,3,12/9/2014,"5,712","4,187","3,635",552
88,Wednesday,4,12/10/2014,"5,491","4,074","3,480",594
89,Thursday,5,12/11/2014,"5,144","3,801","3,247",554
90,Friday,6,12/12/2014,"3,880","2,860","2,418",442
91,Saturday,7,12/13/2014,"2,605","1,838","1,538",300
92,Sunday,1,12/14/2014,"3,625","2,650","2,259",391
93,Monday,2,12/15/2014,"4,685","3,478","3,000",478
94,Tuesday,3,12/16/2014,"4,891","3,338","2,861",477
95,Wednesday,4,12/17/2014,"4,222","3,053","2,606",447
96,Thursday,5,12/18/2014,"3,691","2,690","2,275",415
97,Friday,6,12/19/2014,"2,748","1,879","1,559",320
98,Saturday,7,12/20/2014,"1,380","1,011",836,175
99,Sunday,1,12/21/2014,"1,474","1,054",876,178
100,Monday,2,12/22/2014,"2,452","1,715","1,394",321
101,Tuesday,3,12/23/2014,"2,298","1,440","1,159",281
102,Wednesday,4,12/24/2014,"1,430",947,772,175
103,Thursday,5,12/25/2014,"1,002",667,522,145
104,Friday,6,12/26/2014,"1,486","1,005",808,197
105,Saturday,7,12/27/2014,"1,345",941,781,160
106,Sunday,1,12/28/2014,"1,453",948,765,183
107,Monday,2,12/29/2014,"2,173","1,472","1,228",244
108,Tuesday,3,12/30/2014,"2,208","1,424","1,172",252
109,Wednesday,4,12/31/2014,"1,381",955,773,182
110,Thursday,5,1/1/2015,"1,265",876,715,161
111,Friday,6,1/2/2015,"1,948","1,288","1,030",258
112,Saturday,7,1/3/2015,"1,742","1,096",946,150
113,Sunday,1,1/4/2015,"1,896","1,409","1,186",223
114,Monday,2,1/5/2015,"3,033","2,062","1,706",356
115,Tuesday,3,1/6/2015,"3,445","2,327","1,942",385
116,Wednesday,4,1/7/2015,"3,423","2,384","1,991",393
117,Thursday,5,1/8/2015,"3,319","2,272","1,922",350
118,Friday,6,1/9/2015,"2,783","1,941","1,663",278
119,Saturday,7,1/10/2015,"1,952","1,240","1,066",174
120,Sunday,1,1/11/2015,"2,245","1,611","1,391",220
121,Monday,2,1/12/2015,"3,928","2,518","2,125",393
122,Tuesday,3,1/13/2015,"3,810","2,621","2,239",382
123,Wednesday,4,1/14/2015,"3,931","2,656","2,229",427
124,Thursday,5,1/15/2015,"3,523","2,457","2,069",388
125,Friday,6,1/16/2015,"2,943","1,928","1,640",288
126,Saturday,7,1/17/2015,"1,751","1,237","1,052",185
127,Sunday,1,1/18/2015,"2,491","1,762","1,541",221
128,Monday,2,1/19/2015,"3,766","2,665","2,271",394
129,Tuesday,3,1/20/2015,"4,194","2,852","2,423",429
130,Wednesday,4,1/21/2015,"4,038","2,916","2,482",434
131,Thursday,5,1/22/2015,"3,891","2,702","2,334",368
132,Friday,6,1/23/2015,"3,111","2,181","1,897",284
133,Saturday,7,1/24/2015,"1,946","1,414","1,239",175
134,Sunday,1,1/25/2015,"2,802","2,010","1,740",270
135,Monday,2,1/26/2015,"3,892","2,841","2,466",375
136,Tuesday,3,1/27/2015,"4,172","3,003","2,592",411
137,Wednesday,4,1/28/2015,"4,464","3,280","2,862",418
138,Thursday,5,1/29/2015,"4,377","3,143","2,679",464
139,Friday,6,1/30/2015,"3,734","2,514","2,129",385
140,Saturday,7,1/31/2015,"2,262","1,657","1,443",214
141,Sunday,1,2/1/2015,"3,050","2,122","1,825",297
142,Monday,2,2/2/2015,"4,794","3,366","2,867",499
143,Tuesday,3,2/3/2015,"4,936","3,423","2,922",501
144,Wednesday,4,2/4/2015,"5,016","3,500","3,023",477
145,Thursday,5,2/5/2015,"4,489","3,170","2,753",417
146,Friday,6,2/6/2015,"3,505","2,468","2,075",393
147,Saturday,7,2/7/2015,"2,264","1,679","1,437",242
148,Sunday,1,2/8/2015,"3,314","2,435","2,100",335
149,Monday,2,2/9/2015,"5,095","3,619","3,125",494
150,Tuesday,3,2/10/2015,"5,525","3,793","3,272",521
151,Wednesday,4,2/11/2015,"5,074","3,689","3,190",499
152,Thursday,5,2/12/2015,"4,571","3,319","2,810",509
153,Friday,6,2/13/2015,"3,570","2,664","2,253",411
154,Saturday,7,2/14/2015,"2,182","1,565","1,323",242
155,Sunday,1,2/15/2015,"3,265","2,277","1,935",342
156,Monday,2,2/16/2015,"4,670","3,297","2,826",471
157,Tuesday,3,2/17/2015,"4,764","3,452","2,957",495
158,Wednesday,4,2/18/2015,"4,943","3,526","3,026",500
159,Thursday,5,2/19/2015,"4,790","3,307","2,811",496
160,Friday,6,2/20/2015,"3,604","2,621","2,241",380
161,Saturday,7,2/21/2015,"2,455","1,823","1,569",254
162,Sunday,1,2/22/2015,"3,650","2,690","2,329",361
163,Monday,2,2/23/2015,"5,463","3,975","3,433",542
164,Tuesday,3,2/24/2015,"5,884","4,112","3,542",570
165,Wednesday,4,2/25/2015,"5,615","4,019","3,432",587
166,Thursday,5,2/26/2015,"5,289","3,747","3,186",561
167,Friday,6,2/27/2015,"4,434","2,969","2,486",483
168,Saturday,7,2/28/2015,"2,665","1,977","1,694",283
169,Sunday,1,3/1/2015,"3,907","2,906","2,519",387
170,Monday,2,3/2/2015,"5,308","3,778","3,222",556
171,Tuesday,3,3/3/2015,"5,773","4,025","3,490",535
172,Wednesday,4,3/4/2015,"5,585","4,060","3,457",603
173,Thursday,5,3/5/2015,"4,783","3,582","3,049",533
174,Friday,6,3/6/2015,"3,893","2,707","2,259",448
175,Saturday,7,3/7/2015,"2,917","2,048","1,723",325
176,Sunday,1,3/8/2015,"3,353","2,468","2,104",364
177,Monday,2,3/9/2015,"5,400","3,824","3,246",578
178,Tuesday,3,3/10/2015,"5,395","3,926","3,350",576
179,Wednesday,4,3/11/2015,"5,229","3,859","3,263",596
180,Thursday,5,3/12/2015,"5,371","3,784","3,204",580
181,Friday,6,3/13/2015,"4,185","3,045","2,559",486
182,Saturday,7,3/14/2015,"2,724","1,988","1,675",313
183,Sunday,1,3/15/2015,"3,590","2,620","2,196",424
184,Monday,2,3/16/2015,"5,367","3,771","3,192",579
185,Tuesday,3,3/17/2015,"5,440","3,968","3,387",581
186,Wednesday,4,3/18/2015,"5,465","4,043","3,458",585
187,Thursday,5,3/19/2015,"5,318","3,813","3,262",551
188,Friday,6,3/20/2015,"4,225","2,916","2,462",454
189,Saturday,7,3/21/2015,"2,687","1,975","1,667",308
190,Sunday,1,3/22/2015,"3,791","2,786","2,388",398
191,Monday,2,3/23/2015,"5,661","3,949","3,331",618
192,Tuesday,3,3/24/2015,"5,759","4,081","3,487",594
193,Wednesday,4,3/25/2015,"5,599","3,983","3,378",605
194,Thursday,5,3/26/2015,"5,103","3,755","3,184",571
195,Friday,6,3/27/2015,"4,313","2,946","2,446",500
196,Saturday,7,3/28/2015,"2,971","2,011","1,651",360
197,Sunday,1,3/29/2015,"3,662","2,693","2,285",408
198,Monday,2,3/30/2015,"5,635","3,985","3,386",599
199,Tuesday,3,3/31/2015,"5,581","3,963","3,359",604
200,Wednesday,4,4/1/2015,"5,329","3,761","3,170",591
201,Thursday,5,4/2/2015,"4,553","3,214","2,710",504
202,Friday,6,4/3/2015,"3,423","2,404","1,988",416
203,Saturday,7,4/4/2015,"2,708","1,807","1,512",295
204,Sunday,1,4/5/2015,"3,306","2,266","1,895",371
205,Monday,2,4/6/2015,"5,203","3,692","3,133",559
206,Tuesday,3,4/7/2015,"5,712","4,104","3,456",648
207,Wednesday,4,4/8/2015,"5,601","4,015","3,401",614
208,Thursday,5,4/9/2015,"5,486","4,063","3,430",633
209,Friday,6,4/10/2015,"4,178","3,213","2,697",516
210,Saturday,7,4/11/2015,"2,878","2,153","1,835",318
211,Sunday,1,4/12/2015,"4,169","2,903","2,447",456
212,Monday,2,4/13/2015,"6,372","4,485","3,787",698
213,Tuesday,3,4/14/2015,"6,240","4,391","3,698",693
214,Wednesday,4,4/15/2015,"6,170","4,409","3,723",686
215,Thursday,5,4/16/2015,"6,071","4,275","3,586",689
216,Friday,6,4/17/2015,"4,682","3,307","2,741",566
217,Saturday,7,4/18/2015,"3,208","2,291","1,894",397
218,Sunday,1,4/19/2015,"4,310","3,144","2,669",475
219,Monday,2,4/20/2015,"6,435","4,694","3,929",765
220,Tuesday,3,4/21/2015,"6,299","4,455","3,769",686
221,Wednesday,4,4/22/2015,"6,360","4,512","3,797",715
222,Thursday,5,4/23/2015,"6,349","4,360","3,664",696
223,Friday,6,4/24/2015,"4,660","3,387","2,845",542
224,Saturday,7,4/25/2015,"3,354","2,420","2,035",385
225,Sunday,1,4/26/2015,"4,371","3,189","2,688",501
226,Monday,2,4/27/2015,"6,534","4,731","3,977",754
227,Tuesday,3,4/28/2015,"6,832","4,941","4,161",780
228,Wednesday,4,4/29/2015,"6,689","4,870","4,110",760
229,Thursday,5,4/30/2015,"5,849","4,086","3,450",636
230,Friday,6,5/1/2015,"4,247","3,064","2,562",502
231,Saturday,7,5/2/2015,"3,219","2,360","1,958",402
232,Sunday,1,5/3/2015,"4,211","3,210","2,765",445
233,Monday,2,5/4/2015,"6,424","4,752","4,043",709
234,Tuesday,3,5/5/2015,"6,223","4,520","3,818",702
235,Wednesday,4,5/6/2015,"6,551","4,768","4,059",709
236,Thursday,5,5/7/2015,"6,343","4,449","3,770",679
237,Friday,6,5/8/2015,"4,696","3,366","2,824",542
238,Saturday,7,5/9/2015,"3,134","2,239","1,846",393
239,Sunday,1,5/10/2015,"3,868","2,844","2,365",479
240,Monday,2,5/11/2015,"6,020","4,482","3,787",695
241,Tuesday,3,5/12/2015,"5,705","4,160","3,490",670
242,Wednesday,4,5/13/2015,"5,752","4,016","3,348",668
243,Thursday,5,5/14/2015,"5,181","3,605","3,008",597
244,Friday,6,5/15/2015,"4,269","2,913","2,404",509
245,Saturday,7,5/16/2015,"2,633","1,818","1,473",345
246,Sunday,1,5/17/2015,"3,336","2,376","1,988",388
247,Monday,2,5/18/2015,"5,127","3,587","2,955",632
248,Tuesday,3,5/19/2015,"5,449","3,767","3,149",618
249,Wednesday,4,5/20/2015,"5,746","3,956","3,371",585
250,Thursday,5,5/21/2015,"5,115","3,642","3,046",596
251,Friday,6,5/22/2015,"3,995","2,749","2,243",506
252,Saturday,7,5/23/2015,"2,618","1,884","1,585",299
253,Sunday,1,5/24/2015,"2,961","2,117","1,763",354
254,Monday,2,5/25/2015,"4,090","2,913","2,427",486
255,Tuesday,3,5/26/2015,"5,201","3,637","3,073",564
256,Wednesday,4,5/27/2015,"5,321","3,797","3,146",651
257,Thursday,5,5/28/2015,"5,219","3,509","2,887",622
258,Friday,6,5/29/2015,"4,017","2,804","2,338",466
259,Saturday,7,5/30/2015,"2,297","1,629","1,346",283
260,Sunday,1,5/31/2015,"3,145","2,226","1,860",366
261,Monday,2,6/1/2015,"4,905","3,419","2,797",622
262,Tuesday,3,6/2/2015,"4,747","3,284","2,701",583
263,Wednesday,4,6/3/2015,"4,591","3,317","2,713",604
264,Thursday,5,6/4/2015,"4,431","3,173","2,652",521
265,Friday,6,6/5/2015,"3,608","2,523","2,068",455
266,Saturday,7,6/6/2015,"2,422","1,673","1,336",337
267,Sunday,1,6/7/2015,"3,132","2,145","1,790",355
268,Monday,2,6/8/2015,"4,962","3,377","2,788",589
269,Tuesday,3,6/9/2015,"4,881","3,469","2,862",607
270,Wednesday,4,6/10/2015,"5,001","3,425","2,786",639
271,Thursday,5,6/11/2015,"4,635","3,242","2,614",628
272,Friday,6,6/12/2015,"3,545","2,494","2,066",428
273,Saturday,7,6/13/2015,"2,262","1,490","1,235",255
274,Sunday,1,6/14/2015,"2,866","2,034","1,692",342
275,Monday,2,6/15/2015,"4,692","3,261","2,682",579
276,Tuesday,3,6/16/2015,"4,602","3,204","2,660",544
277,Wednesday,4,6/17/2015,"4,620","3,101","2,556",545
278,Thursday,5,6/18/2015,"4,475","2,955","2,386",569
279,Friday,6,6/19/2015,"3,564","2,422","1,954",468
280,Saturday,7,6/20/2015,"2,071","1,370","1,129",241
281,Sunday,1,6/21/2015,"2,659","1,840","1,523",317
282,Monday,2,6/22/2015,"4,338","2,963","2,410",553
283,Tuesday,3,6/23/2015,"4,531","3,139","2,566",573
284,Wednesday,4,6/24/2015,"4,498","3,022","2,481",541
285,Thursday,5,6/25/2015,"4,128","2,730","2,210",520
286,Friday,6,6/26/2015,"3,132","2,153","1,721",432
287,Saturday,7,6/27/2015,"1,829","1,264","1,067",197
288,Sunday,1,6/28/2015,"2,149","1,517","1,224",293
289,Monday,2,6/29/2015,"3,975","2,691","2,169",522
290,Tuesday,3,6/30/2015,"4,046","2,718","2,180",538
291,Wednesday,4,7/1/2015,"3,897","2,745","2,266",479
292,Thursday,5,7/2/2015,"3,871","2,540","2,072",468
293,Friday,6,7/3/2015,"2,630","1,716","1,353",363
294,Saturday,7,7/4/2015,"1,602","1,104",900,204
295,Sunday,1,7/5/2015,"1,960","1,370","1,141",229
296,Monday,2,7/6/2015,"4,143","2,655","2,171",484
297,Tuesday,3,7/7/2015,"4,205","2,789","2,266",523
298,Wednesday,4,7/8/2015,"4,193","2,783","2,255",528
299,Thursday,5,7/9/2015,"3,710","2,536","2,069",467
300,Friday,6,7/10/2015,"3,137","2,203","1,767",436
301,Saturday,7,7/11/2015,"1,834","1,145",944,201
302,Sunday,1,7/12/2015,"2,070","1,473","1,197",276
303,Monday,2,7/13/2015,"4,180","2,852","2,310",542
304,Tuesday,3,7/14/2015,"4,038","2,731","2,226",505
305,Wednesday,4,7/15/2015,"3,906","2,667","2,119",548
306,Thursday,5,7/16/2015,"3,580","2,424","1,940",484
307,Friday,6,7/17/2015,"2,948","2,070","1,708",362
308,Saturday,7,7/18/2015,"1,622","1,121",924,197
309,Sunday,1,7/19/2015,"2,179","1,480","1,214",266
310,Monday,2,7/20/2015,"3,906","2,615","2,146",469
311,Tuesday,3,7/21/2015,"3,745","2,596","2,071",525
312,Wednesday,4,7/22/2015,"4,212","2,761","2,205",556
313,Thursday,5,7/23/2015,"3,901","2,595","2,095",500
314,Friday,6,7/24/2015,"3,292","2,207","1,785",422
315,Saturday,7,7/25/2015,"1,819","1,229","1,016",213
316,Sunday,1,7/26/2015,"2,068","1,562","1,286",276
317,Monday,2,7/27/2015,"3,991","2,805","2,243",562
318,Tuesday,3,7/28/2015,"4,073","2,862","2,361",501
319,Wednesday,4,7/29/2015,"4,069","2,825","2,324",501
320,Thursday,5,7/30/2015,"3,716","2,629","2,126",503
321,Friday,6,7/31/2015,"3,380","2,120","1,709",411
322,Saturday,7,8/1/2015,"1,737","1,197",958,239
323,Sunday,1,8/2/2015,"2,181","1,567","1,282",285
324,Monday,2,8/3/2015,"3,973","2,794","2,263",531
325,Tuesday,3,8/4/2015,"3,997","2,794","2,269",525
326,Wednesday,4,8/5/2015,"4,132","2,798","2,287",511
327,Thursday,5,8/6/2015,"3,791","2,693","2,204",489
328,Friday,6,8/7/2015,"2,968","2,139","1,738",401
