ride_review,ride_rating,sentiment
I completed running New York Marathon requested Uber Pool ride back hotel First let tell started right The driver agreed pick drop locations via app I called spoke driver let know pick location actually blocked due marathon agreed another pickup location block away race road block Before I picked I got notification another rider joining part ride I picked driver spoken agreed upon location shortly passenger picked dropped Now went wrong Moments continuing destination I got notification via app phone ride asked driver going claimed Gee I I another passenger pick ride need get Still confused I asked still far agreed upon destination This time clearly played dumb saying understand Uber app works I get In middle street strange location even anywhere wanting argue clear new ride request another clearly lucrative wanting continue ride jerk I peacefully exited car I stood front private residence shivering cold degree rainy weather dark completed running mile marathon wanting nothing safe ride back hotel seek much needed rest warmth safety No sooner I exited car driver already scrawling new fare name piece paper standing outside car street meet new fare even inkling conscientiousness done And driver still nerve charge partial fare Not excited using Uber app street taxis coming another apps installed Lyft I requested new ride I connected shortly another driver minutes away minutes long amount time warm safe dressed running clothes weary expecting safe warm car I stranded street pace alone wait driver Also main street traffic heavy due marathon rode closures minute wait able get realistic To eternal happiness arrived within minutes delivered safely nicely next day finding way file complaint Uber via app I sent complaint within couple hours replied wet blanket apology inconvenience offered credit I charged To make even worse Uber credited towards another driver one taken day I wrote back corrected harm previous day good driver reputation take well earned pay preserve good relationships good Uber drivers I rode wrote back full credit better certainly enough make dangerous situation driver put mention discipline driver I told Uber I never use use Lyft Although many many Uber experiences past years I one bad apple ruined Uber forever,1.0,0
My appointment time auto repairs required early available mechanic begin work The Uber app easily installed mobile device followed required information filled onto blanks When typing phone number gave order check SMS texts confirmation code used along number No text sent first try More tries texts give Four hours later texts codes sent Two attempts unsuccessful emailing Uber headquarters San Francisco included lively suggestions As follows I suggest someone unclog ride summoning impacted website rectum swallowing online laxative followed readily available Fleets enema must wait weeks repairs done shop That means safety concerns drive When using Uber months past things went far better problem cleared pronto apologetic courteous driver What letdown go round If world greatest ability dependability public service companies aware learning important aspect business world This incident second kind problem still fix Then unlike I made contact home base treated rudely great disrespect Perhaps reply better forthcoming I least choice codes might need one request service hours ahead needed Uber folks oughta uncrimp contained app Google store,1.0,0
Whether I using Uber ride service Uber Eats ordering food service terrible Out times ordering food Uber Eats times food forgotten Every time I requested refund missing item recently told refrain type behaviour told restricting account Not sure I punished drivers checking food prior delivery Recently traveling I ordered Uber place I staying I notified driver tricky place find even provided extremely specific instructions I attempted contact driver numerous times response The driver cancelled trip I charged cancellation fee I guess moral story company makes consumer pay employees mistakes Please refrain using service possible I know I finding alternatives,1.0,0
Why hard understand I trying retrieve Uber cab email different phone number If say security recognize phone number security system Because therefore good security system link original number new number account recognize So stop rejecting new number What think I want everyone calling private personal number Do respond fixed problems Or IT tell people TO SHUT THE UP And I tried send let go pass Why I put amount stars serviced zero amount stars,1.0,0
I South Beach FL I staying major hotel ordered Uber The driver find ridiculous I waiting front hotel located main drag SOBE He hung charged I disputed charge I credit account Uber available I live The last time I ordered car South Beach driver hardly spoke English find TJ MAXX My advice use Uber Florida,1.0,0
I damage vehicle due Uber driver upstairs neighbor used The trim rear wheel well broke The driver leave note He kept calling neighbor Now answer phone Ca get number Uber locate driver,1.0,0
I use Uber fairly frequently Overall good service amazing drivers You call Only go steps send messages I want call I issue frustrating However two things happened short time make wary using Uber future Might go back taking first leave us feeling good Uber let go My brother called Uber pick us beach The Uber driver arrived Uber Lyft sign window We get good feeling outset He dropped us home arranged He accepted cash tip tip Uber App Later Uber retroactively charged brothers card driver reported gotten sand floor mats He picked us beach My brother contacted Uber said even though ridiculous first place charge line criteria website They refused refund anything today I see email Uber inbox You rode Dario miles Trip Time Car UberX following message Adjustment Care due different drop locations Ricardo whoever Previous charge Charged Personal New Total Plus I thought driver good generous tipper general I also gave tip expensive mile ride I ever taken You speak human I get email confirmation dispute even received I heard zero back This beyond horrifying After writing even upset,2.0,0
Last night I returned home airport using Uber Shared ride The person paid vs First stop residence farther away airport place Needless say I happy I heard fare percent Uber says dynamic pricing issue partial refund And company burning cash billion year turmoil executive ranks one think company might sensitive algorithms used Uber suspect I live City contracted Uber provide local transportation free charge using City vehicle It took minutes arrive destination normally takes minutes picking people along I shared experience City aware Uber shortcomings plan address company Needless say Uber struggling pool algorithms chosen work customers inequities surface Uber lost loyal customer,1.0,0
Do lose anything Uber otherwise experience nightmare getting recognize My friend ride set however end trip I got dropped leaving wallet black leather seats black wallet night Anyhow friend needed provide verification account problem except around emails days later accept email address account provided signing phone number calling used ride It uselessness forwarding info even confirming accounts It mind boggling messages getting back recognizing content info used ride Not sure tech support terms usability I letting charge fee returned item say least We threatening police point Apparently driver something Uber slowing whole process increasing frustration,1.0,0
My last experiences Uber made use taxis turned preferable Uber Two weeks ago called Uber driver speak understand English I immediately got still charged Tuesday October I requested Uber take midway airport When I received notification driver arrived I called since I already waiting outside He informed Lombard And I place I always picked Chicago Guess I Lyft,1.0,0
Our party consisted three adult daughters two friends going wedding dress shopping We needed SUV accommodate us Uber showed driver minutes away Sanford Florida Perfect thought reservation another minutes We waited waited map showed driver staying place originally shown yet eta remained We thought map must frozen reset done showed driver picked us route someplace going AND WITHOUT US To make matters worse credit card charged late appointment There must way Uber assure card used YOUR trip someone else,1.0,0
time I extremely satisfied pet gripes No flat rate airport taxis limos From JFK got stuck midtown tunnel fare time distance almost twice flat taxi fare The driver profile indicate FasTrak transponder Coming LAX DTLA two occasions stuck traffic driver FasTrak use express lanes When driver accepts request snapshot description name make car license etc also Can use FasTrak express lanes I know reject pickup driver lack FasTrak Another solution option profile preferences accept drivers Drivers often know city relying much GPS unaware surroundings Taxi drivers seem know popular destinations way get depending conditions whereas Uber drivers usually like little automatons staring GPS unaware Waze sending us unnecessary detour I recently ride Broad Museum downtown LA home miles away The driver never heard GPS I told Bunker Hill next Walt Disney Concert Hall The Music Center near County Courthouse never heard Those iconic landmarks nobody allowed drive Uber know fundamental layout city landmarks The Uber App iPhone hogs much memory I limited storage capacity phone review remove items The Uber app one biggest apps I removed By comparison Lyft app,3.0,1
I file class action suit Uber I use service get billed My card taken used This company checking identification match cards used service purchases This company drivers allowing minors ride without permission using unauthorized debit credit cards There direct contact number resolve issues unless create Uber account Has happened anyone else,1.0,0
If I give stars I Uber STOLE MONEY made unauthorized charges credit card On top even taking responsibility continuously keep marking issue resolved even though I proof bank statements There phone number place I go therefore taking advantage There random charges credit card total I use Uber app weeks When I asked explain charges say know ignore mark resolved Also recently I wait hours food delivered UberEATS I called UberEATS complained said give refund know They give either I already called UberEATS times keep saying process never end As soon I find lawyer I suing UBER lying making unauthorized charges credit card It ILLEGAL federal crime steal money,1.0,0
I driven KCVG leave rental car Having used Uber oh let say half dozen time life I charge phone gone dead Now Avis rental car system informed drive terminal This Avis agent informs Oh yes Uber picks I follow instructions Uber gave I take shuttle terminal summon ride pickup site Here hurtful thing Now I wrong While I looking drive Lyft I get call Uber driver I outside way exchange That lie I break Within minute placing ride I got confirmation four minutes Then I get text I flat tire Will please cancel I replied yes Now Old buffalo born yesterday Being end seventh decade life grown small town south Alabama I smell RAT stinks hell Oh well boot I see cancellation fee Now I say taken card Finally young fool callback number I screenshot quite smart enough respond auto text I sent number listed got reply I smell stinking RAT smell HELL By way I one free text message numbers choose I born came site since I write speak Uber Soon life FOOL I wrong I think You tell I get Uber Since trip never made I write review Again I get five dollars credited back account Old Buffalo Coon I mean Coon That smiling way,1.0,0
I used many times UBER rides USA I Visited Delhi India two weeks ago selected card payment method I reached destination driver requested cash payment I thought maybe credit card working I paid cash later I found credit card also charged When I requested refund Uber give excuses automated reply like fault I given cash Driver What I supposed driver insisting pay cash completion ride At time way I confirm UBER office paying Uber sent automated emails saying refund option exact issue SO NO MORE UBER,1.0,0
It unfortunate know Uber allows drivers rate clients My rating Uber recent trip town used Uber rating dropped I kind friendly driver I engaged conversation started I also sent additional tip post trip I longer ride Uber leave driver may unhappy job bad day expecting cash tip rate client passenger I treat people kindness respect driver ratings always good excellent You lost loyal customer,2.0,0
DO NOT ACCEPT RIDE WITH UBER DRIVER EDGAR IN SILVER TOYOTA SIENNA VAN Me husband six year old daughter requested Uber take us back Sanford International Airport Wednesday October Disney Art Animation Resort We great experience trip resort Wednesday prior Mike drove grey Lexus That fare totaled tipped That said requested another Uber X trip returning Sanford airport expected fare fare provided accepted later got email stating EDGAR adjusted fare XL due amount people rode THREE total The fare DOUBLED I submit several disputes get corrected STILL pay MORE agreed rate VERY UNHAPPY WITH MY EXPERIENCE AND WILL NEVER USE UBER AGAIN I WOULD HIGHLY SUGGEST FINDING AN ALTERNATIVE SUCH AS LYFT,1.0,0
I purchased dollar Uber gift card CVS After downloading uber app adding gift card android phone I get error message payment error I trying contact Uber days getting nothing automated response called customer service help After useless message nerve send email issue resolved I dollars I even went Facebook attempting get resolution automated response I HOPE THESE FRAUDS GO OUT OF BUSINESS FOR STEALING DOLLARS FROM ME No company big fall I regret ever considering using Uber Lesson learned,1.0,0
We used Uber times week Orlando vacation instead renting car good results except last trip hotel airport The initial estimated cost ended taking minutes At airport shocked paid receipt showed distance miles trip time minutes map route different one taken We contacted Uber promptly refunded extra cost Very bizarre I hope isolated incident Uber investigates If fare much higher expected may noticed,4.0,1
I WAS loyal Uber customer past especially I lost car I used Uber daily basis coming work Well today I needed quick ride get quick bite husband using car I decided use I heard jacked prices I never imagined I pay drive Yes bill THAT IS RIDICULOUS Never I use company They ripping people point,1.0,0
Myself daughter travelled We checked Uber Kompally Gachhibowli amount shown When driver dropped us shown amount correct I verified receipt showing amount plus wait time total cash receipt come How possible It possible driver continues previous trip How total become Please explain I travelled daughter hence I paid prolonged discussion use Customer care spite contacting So tell nonsense going another incident happened came Newspaper TV also One lady traveling Hyderabad Delhi gone Hyderabad airport driver misbehaved made complaint Delhi Airport Police station contacted Commissioner Police Station afterwards driver act immediately aspect give explanation going file suit Can refund time money wasted Or else please pay compensation Lot time wasted harassment customer care driver We cash receipt scan attached want Totally worst services Uber No OPT hence problems coming I regards Company Please respond else matter go level,1.0,0
Alexandria VA October I charged waiting fee even though I standing precisely GPS location I requested ride front home Uber driver pulled The Uber driver wait even one minute In fact I waited Uber driver show Manhattan NY October I charged waiting fee even though I standing precisely GPS location I requested ride Uber driver picked The Uber driver wait even one minute In fact I waited Uber driver show NY October I charged waiting fee even though I standing precisely GPS location I requested ride Uber driver picked The Uber driver wait even one minute In fact I waited Uber driver show Eisenhower Ave Metro Station Alexandria VA October I charged waiting fee even though I standing precisely GPS location I requested ride Uber driver picked The Uber driver wait even one minute In fact I waited Uber driver show The waiting fee pure simple,2.0,0
On PM There No charge ride Despite using GPS driver tried take closed entrance Brooklyn Battery Tunnel detour back original entrance Once Manhattan And blocks theater destination took another wrong turn ended New Jersey By time got back Manhattan already past starting time play going As matter fact already minutes tickets cost I ordered Uber car approx pm approx arrival ring We arrived close I expect Uber charge ride pay tickets play ruined This worst ever experience Uber I spent two weeks trying get someone call Their message keeps saying team working I taken Ubers various cities worst experience cost lot money So much loyal customer Uber read Please call,1.0,0
I requested ride residence Publix grocery store tip When finished shopping I found phone pocket Upon exiting driver outside phone I dropped car returned I grateful Return home tip different driver Checked bank account I got home charged total Registered concern app There customer service phone number I sent message I charged returning phone Still discrepancy I replied concerned totally dismissed Message said complaint resolved Terrible service No Uber,1.0,0
I selected card payment method I reached destination driver requested cash payment I obliged since Uber refund option circumstances I requested refund give excuses like fault checking payment method etc If case refund option exact issue This second time Uber done reason I lodging complaint,1.0,0
Uber support sends responses questions escalation path seem read issue multiple agents responding ticket repeat issue endlessly nobody taking accountability ticket beginning end They close tickets mark resolved agent increase ticket count Worst support department ever implement rate support agent get metrics bad support,1.0,0
While wonderful able get driver tap finger much behind ease process I driver partner UBER likes call us I drove UBER approximately years without incident However support throughout three years nothing I ever experienced It predominantly offshore app driven You speak anyone support messages solutions canned templates There humanity outside box incidents I recently incident freeway I rider car A motorcycle lane splitting California deliberately punched drivers side mirror When I reported UBER deactivated cited I unsafe driver Again I never many hours trying get ONE support representative Paul via online actually broke template chain conversed without script I found ONE live person area I drove meet person His name Victor Victor acted understood situation agreed I never deactivated communicating PAUL corporate rectify Victor never called said Uber deactivated account told decision final They terrible partners customer service truly care money We dime dozen band together continue maintain low level service,1.0,0
Uber drivers Sydney cities around world bad habit accepting jobs miles away sometimes still dropping passenger dozens cars close new job location I one morning take home Rushcutters Bay work city least cars within location This Uber driver still took job still city away Uber needs something sort behaviour ruins customer experience make people angry customers want service take cab The solution simple offer function app users manage circular area around pickup zone beyond Uber drivers excluded picking rides Simple,1.0,0
My experience Uber San Francisco April Uber still hiding shadow come front center pick lurk around corner wait long cancel ride This damaged game hide seek,2.0,0
It completely outrageous I called Uber pick airport bring back home They gave service home airport three days prior arrival town To surprise charge travel time distance I paid The service distance location Never request services never request services,1.0,0
I use Uber time I officially done unprofessional company Guess crime able talk someone person Uber Uber letting drivers ripoff riders I service dog last weeks charged twice cleaning fee without input The last one dirt spots seat already I tired drivers making extra money whenever feel like I done ripped,1.0,0
Contact number driver Absolutely professional I booked cab showed minutes away Again changed minutes away Followed minutes away I called guide He purposely kept phone speaker pretended like hear Uber really disappointed HORRIBLE,1.0,0
The navigation system great India driver selection good issues bills rates promos customer care respond quickly,4.0,1
I pay go phone next impossible get app work I still finding difficult change bank I want money come There ph call customer service,1.0,0
Uber rides always convenient plentiful prompt All rides good friendly drivers Always impressed cleanliness newness vehicles I ridden,5.0,1
Uber Atlanta Horrible I Rideshare The driver confused person took ride I requested picked Aquarium go Mary Restaurant If look driver took client place Uber charged ride I never took believed driver Rideshare used If account took ride I never picked driver simply confused person I rides scheduled picked one time Unfortunately growth way account real I problem Washington able get refunded,1.0,0
I positive experience Uber company I contact I need fast service When mattered always time I thankful,5.0,1
I ordered Uber Seattle I getting cruise ship needed go city I contacted driver never arrived I contacted another driver wanted walk mile Subway My last encounter driver wanted charge short ride,1.0,0
I used Uber regularly years ago driver got accident way pick I hop train The next time driver came pick I smell alcohol breath I hopped train The last straw driver late cited causing accident house minutes late Never used Now I use taxis whose drivers licensed bonded insured,1.0,0
Found California emergency trip without transportation Stranger town Called taxi mile trip hospital Cost way afford long paying food lodging Called Uber Less half cost drivers always prompt courteous helpful recommending food shopping necessities asked Got mini sightseeing tour every ride explained surrounding area Loved Thank Uber,5.0,1
I avid Uber rider On I ordered Uber pool around My fare The driver picked location On way dropoff driver picked another passenger dropped passenger He proceeded dropoff ended ride mistake The driver load dropoff address It I got car I realized fare duplicated I sent emails UBER They customer relations email They refund money On October I used service This time fare This fare obviously deducted Visa card also statement On app UBER claiming I outstanding payment I PAID THEM I need help,1.0,0
Uber charged wait time I outside waiting driver pull Today I watched driver pull got car I even texted driver location beforehand confusion Then I look online receipt I see charge This third time Uber done I think scam I rated driver really low change someone verifies drivers responsible I ca get anybody phone Uber customer service atrocious I ca keep using service tries scam every opportunity,1.0,0
I limited really optimal experiences I use service occasionally like three times last two years nice cars good people short wait low prices,5.0,1
Used Uber times Miami January Twice drivers good one little lost one find butt hands,3.0,1
I Uber driver short time passengers said positive things rides The company checks riders allowed use Uber It also background check drivers They send driving directions pickup passengers also destination Then pay week,5.0,1
Love Uber First time user impressed reasonable price efficient service The driver nice helpful I given five star go certain station catch ride curbside baggage claim area,5.0,1
In fairness play fair Yes fairness important many us Their ID sketchy car safety checks pay taxes fees taxis,1.0,0
My car repair shop I needed ride home work I used Uber app driver within minutes professional Her name Joke I said I use services Great experience,5.0,1
I order Uber pick family I find every time phone higher charges Other phones charge around pool ride phone every time higher charge usually dollar something higher sometimes even,1.0,0
A couple years back family I went trip Washington state We went one water parks We loaded motor home went The trip ended total bust weather water park trying find accommodation us motor home Not another vehicle Uber came several times Each time Uber people great More less saved trip,4.0,1
We occasion use Uber first time Washington last fall The service convenient dependable economical easy use The service friendly time drivers courteous A good experience,4.0,1
My son daughter recently went concert Barclays Center Brooklyn New York For convenience son ordered Uber The quoted fare He charged After concert requested another Uber home New Jersey He quoted cost When left car final cost ride suppose next day received fraud email bank stating charges pending account He quickly called bank dispute charges contacted Uber email also dispute charges He later charged trip He received explanation overcharge price Uber Their accounting poor dispute issues via email We used services states problems We never use services,1.0,0
Uber suddenly blocked account without giving justification Even customer care giving proper reason I requested reason ca even give This ethical block without reason,1.0,0
I Uber app installed phone Uber drivers easy schedule payment made online I never need worry cash My wait typically minutes I able see car route along make license plate numbers sent friend text anything ever happen Fares less traditional cabs Cars clean well maintained Love Uber,5.0,1
New User Tried book future pickup thought Realized dispatched driver immediately I discovered I cancelled They charged fee I disputed poor app information There phone number discuss customer relations I NEVER use company,1.0,0
The Uber driver cancelled trip without consulting I waiting driver pick While I waiting I received email trip cancelled I charged I struggled get hold solve problem everything online I managed submit complaint online They took two hours come back A Mr told I must check reverse money back account true They reverse amount charged trip cancellation fees I sent Mr email told I reimbursed cancellation fees He replied attitude bold driver must get paid cancelled trip time attitude want us The matter resolved like leave keep quiet I replied told Mr I take matter I make alternative arrangements The driver cancelled trip I charged cancellation fee fair I also told attitude send email bold I disappointed disturbed I actually make use Uber nearly every week sometimes twice three times per week I shocked happened tonight kind attitude I received If I fault I understand attitude behaviour Kind regards,1.0,0
Uber customer support via email beyond words The horrible worthless support group I ever seen These people read cases subsequent replies bizarre repeat previous CS rep reply You never support rep even case accountability structure It quite unbelievable levels bad At least writer dispute credit card charge But driver Uber cheat money get away I victim,1.0,0
Uber came home faster pick driver courteous wait minutes without charge The driver use precaution respect speed limit He good Education He known lot World History I compare total price I save like regular taxi expensive I recommend Uber peace mind,5.0,1
I noticed I Googled Uber giving free rides new customers I downloaded app attempted add payment method I disabled therefore I receive money prepaid government debit card The card issued Bank America government United States Uber allow form payment allow use PayPal account attached said debit card I find extremely prejudicial towards disabled sect many us drive even afford car making ride sharing necessity I spoken Uber drivers find map app incorrect quite often getting lost making late They also find politics company deplorable Lyft hand take government United States issued Bank America debit card I forego old free ride bait switch offered Uber ride Lyft ride share company I never problem whose drivers friendly time ask directions company understands prepaid card means money guaranteed Perhaps London right idea,1.0,0
I four trip distances four different fares Uber charged fare showed phone I tried lot contact resolve problem end said days solve problem There phone number contact I upset charged credit card I never use service Shame Uber,1.0,0
I use Uber daily commute back forth work The drivers reliable I deal cash transactions anymore The last time I used cab driver ripped Thank God Uber,5.0,1
In general Uber great app easy use convenient When becomes great app surge prices feature The ride costs ridiculous amount I agree charge high demand limit like But often times much Makes regular customers like resentful,4.0,1
I used Uber many times CA MD The app bit user friendly though With exception one drivers friendly driven carefully One time I issue billing customer service handled problem immediately satisfaction I definitely recommend Uber,5.0,1
Uber done great job provide us alternative transportation people want use bus taxis It provides security privacy customers,5.0,1
We used Uber NYC recently first experience service Almost drivers three days prompt courteous treated us respect I envy guys job certainly appreciated,4.0,1
This convenient inexpensive I used friends make trip town celebrate birthday It awesome fast service going returning,5.0,1
