Data;Ora solare;Livello P.Salute Canal Grande (cm)
01-gen-09;01:00;34
01-gen-09;02:00;37
01-gen-09;03:00;36
01-gen-09;04:00;29
01-gen-09;05:00;20
01-gen-09;06:00;15
01-gen-09;07:00;13
01-gen-09;08:00;16
01-gen-09;09:00;23
01-gen-09;10:00;33
01-gen-09;11:00;43
01-gen-09;12:00;46
01-gen-09;13:00;45
01-gen-09;14:00;34
01-gen-09;15:00;17
01-gen-09;16:00;-1
01-gen-09;17:00;-17
01-gen-09;18:00;-31
01-gen-09;19:00;-38
01-gen-09;20:00;-36
01-gen-09;21:00;-26
01-gen-09;22:00;-12
01-gen-09;23:00;3
02-gen-09;00:00;15
02-gen-09;01:00;22
02-gen-09;02:00;26
02-gen-09;03:00;28
02-gen-09;04:00;24
02-gen-09;05:00;19
02-gen-09;06:00;13
02-gen-09;07:00;12
02-gen-09;08:00;13
02-gen-09;09:00;19
02-gen-09;10:00;28
02-gen-09;11:00;36
02-gen-09;12:00;42
02-gen-09;13:00;43
02-gen-09;14:00;38
02-gen-09;15:00;25
02-gen-09;16:00;9
02-gen-09;17:00;-6
02-gen-09;18:00;-19
02-gen-09;19:00;-26
02-gen-09;20:00;-27
02-gen-09;21:00;-22
02-gen-09;22:00;-12
02-gen-09;23:00;1
03-gen-09;00:00;13
03-gen-09;01:00;26
03-gen-09;02:00;38
03-gen-09;03:00;47
03-gen-09;04:00;50
03-gen-09;05:00;47
03-gen-09;06:00;40
03-gen-09;07:00;31
03-gen-09;08:00;23
03-gen-09;09:00;18
03-gen-09;10:00;16
03-gen-09;11:00;18
03-gen-09;12:00;24
03-gen-09;13:00;28
03-gen-09;14:00;27
03-gen-09;15:00;23
03-gen-09;16:00;13
03-gen-09;17:00;2
03-gen-09;18:00;-9
03-gen-09;19:00;-18
03-gen-09;20:00;-23
03-gen-09;21:00;-22
03-gen-09;22:00;-15
03-gen-09;23:00;-4
04-gen-09;00:00;11
04-gen-09;01:00;24
04-gen-09;02:00;36
04-gen-09;03:00;44
04-gen-09;04:00;49
04-gen-09;05:00;47
04-gen-09;06:00;39
04-gen-09;07:00;28
04-gen-09;08:00;18
04-gen-09;09:00;8
04-gen-09;10:00;3
04-gen-09;11:00;-1
04-gen-09;12:00;0
04-gen-09;13:00;2
04-gen-09;14:00;5
04-gen-09;15:00;4
04-gen-09;16:00;2
04-gen-09;17:00;-3
04-gen-09;18:00;-9
04-gen-09;19:00;-13
04-gen-09;20:00;-16
04-gen-09;21:00;-13
04-gen-09;22:00;-5
04-gen-09;23:00;5
05-gen-09;00:00;18
05-gen-09;01:00;30
05-gen-09;02:00;42
05-gen-09;03:00;52
05-gen-09;04:00;59
05-gen-09;05:00;61
05-gen-09;06:00;57
05-gen-09;07:00;46
05-gen-09;08:00;34
05-gen-09;09:00;19
05-gen-09;10:00;9
05-gen-09;11:00;1
05-gen-09;12:00;-3
05-gen-09;13:00;-4
05-gen-09;14:00;0
05-gen-09;15:00;3
05-gen-09;16:00;5
05-gen-09;17:00;7
05-gen-09;18:00;9
05-gen-09;19:00;10
05-gen-09;20:00;12
05-gen-09;21:00;14
05-gen-09;22:00;16
05-gen-09;23:00;19
06-gen-09;00:00;25
06-gen-09;01:00;32
06-gen-09;02:00;42
06-gen-09;03:00;52
06-gen-09;04:00;58
06-gen-09;05:00;62
06-gen-09;06:00;63
06-gen-09;07:00;56
06-gen-09;08:00;44
06-gen-09;09:00;30
06-gen-09;10:00;16
06-gen-09;11:00;4
06-gen-09;12:00;-7
06-gen-09;13:00;-12
06-gen-09;14:00;-14
06-gen-09;15:00;-12
06-gen-09;16:00;-5
06-gen-09;17:00;7
06-gen-09;18:00;16
06-gen-09;19:00;23
06-gen-09;20:00;28
06-gen-09;21:00;30
06-gen-09;22:00;30
06-gen-09;23:00;29
07-gen-09;00:00;30
07-gen-09;01:00;32
07-gen-09;02:00;37
07-gen-09;03:00;45
07-gen-09;04:00;52
07-gen-09;05:00;58
07-gen-09;06:00;63
07-gen-09;07:00;65
07-gen-09;08:00;60
07-gen-09;09:00;49
07-gen-09;10:00;34
07-gen-09;11:00;16
07-gen-09;12:00;1
07-gen-09;13:00;-11
07-gen-09;14:00;-19
07-gen-09;15:00;-18
07-gen-09;16:00;-8
07-gen-09;17:00;7
07-gen-09;18:00;22
07-gen-09;19:00;36
07-gen-09;20:00;47
07-gen-09;21:00;52
07-gen-09;22:00;52
07-gen-09;23:00;48
08-gen-09;00:00;43
08-gen-09;01:00;38
08-gen-09;02:00;37
08-gen-09;03:00;42
08-gen-09;04:00;50
08-gen-09;05:00;59
08-gen-09;06:00;68
08-gen-09;07:00;73
08-gen-09;08:00;70
08-gen-09;09:00;61
08-gen-09;10:00;48
08-gen-09;11:00;32
08-gen-09;12:00;15
08-gen-09;13:00;-3
08-gen-09;14:00;-20
08-gen-09;15:00;-31
08-gen-09;16:00;-30
08-gen-09;17:00;-21
08-gen-09;18:00;-6
08-gen-09;19:00;12
08-gen-09;20:00;29
08-gen-09;21:00;40
08-gen-09;22:00;47
08-gen-09;23:00;48
09-gen-09;00:00;41
09-gen-09;01:00;30
09-gen-09;02:00;22
09-gen-09;03:00;17
09-gen-09;04:00;18
09-gen-09;05:00;24
09-gen-09;06:00;33
09-gen-09;07:00;44
09-gen-09;08:00;52
09-gen-09;09:00;54
09-gen-09;10:00;49
09-gen-09;11:00;34
09-gen-09;12:00;16
09-gen-09;13:00;-5
09-gen-09;14:00;-26
09-gen-09;15:00;-43
09-gen-09;16:00;-51
09-gen-09;17:00;-48
09-gen-09;18:00;-30
09-gen-09;19:00;-7
09-gen-09;20:00;13
09-gen-09;21:00;28
09-gen-09;22:00;38
09-gen-09;23:00;43
10-gen-09;00:00;38
10-gen-09;01:00;24
10-gen-09;02:00;11
10-gen-09;03:00;4
10-gen-09;04:00;1
10-gen-09;05:00;8
10-gen-09;06:00;22
10-gen-09;07:00;37
10-gen-09;08:00;47
10-gen-09;09:00;54
10-gen-09;10:00;55
10-gen-09;11:00;44
10-gen-09;12:00;25
10-gen-09;13:00;4
10-gen-09;14:00;-18
10-gen-09;15:00;-38
10-gen-09;16:00;-53
10-gen-09;17:00;-56
10-gen-09;18:00;-46
10-gen-09;19:00;-26
10-gen-09;20:00;-3
10-gen-09;21:00;18
10-gen-09;22:00;33
10-gen-09;23:00;43
11-gen-09;00:00;44
11-gen-09;01:00;36
11-gen-09;02:00;22
11-gen-09;03:00;8
11-gen-09;04:00;-1
11-gen-09;05:00;-3
11-gen-09;06:00;5
11-gen-09;07:00;22
11-gen-09;08:00;38
11-gen-09;09:00;50
11-gen-09;10:00;58
11-gen-09;11:00;55
11-gen-09;12:00;40
11-gen-09;13:00;21
11-gen-09;14:00;-2
11-gen-09;15:00;-25
11-gen-09;16:00;-45
11-gen-09;17:00;-57
11-gen-09;18:00;-55
11-gen-09;19:00;-38
11-gen-09;20:00;-15
11-gen-09;21:00;7
11-gen-09;22:00;25
11-gen-09;23:00;39
12-gen-09;00:00;44
12-gen-09;01:00;43
12-gen-09;02:00;32
12-gen-09;03:00;16
12-gen-09;04:00;4
12-gen-09;05:00;-4
12-gen-09;06:00;-2
12-gen-09;07:00;9
12-gen-09;08:00;24
12-gen-09;09:00;39
12-gen-09;10:00;50
12-gen-09;11:00;56
12-gen-09;12:00;51
12-gen-09;13:00;37
12-gen-09;14:00;15
12-gen-09;15:00;-9
12-gen-09;16:00;-33
12-gen-09;17:00;-52
12-gen-09;18:00;-59
12-gen-09;19:00;-53
12-gen-09;20:00;-33
12-gen-09;21:00;-8
12-gen-09;22:00;13
12-gen-09;23:00;30
13-gen-09;00:00;41
13-gen-09;01:00;43
13-gen-09;02:00;35
13-gen-09;03:00;20
13-gen-09;04:00;5
13-gen-09;05:00;-5
13-gen-09;06:00;-10
13-gen-09;07:00;-5
13-gen-09;08:00;9
13-gen-09;09:00;25
13-gen-09;10:00;37
13-gen-09;11:00;44
13-gen-09;12:00;47
13-gen-09;13:00;37
13-gen-09;14:00;19
13-gen-09;15:00;-1
13-gen-09;16:00;-19
13-gen-09;17:00;-36
13-gen-09;18:00;-46
13-gen-09;19:00;-45
13-gen-09;20:00;-27
13-gen-09;21:00;-7
13-gen-09;22:00;15
13-gen-09;23:00;36
14-gen-09;00:00;50
14-gen-09;01:00;58
14-gen-09;02:00;61
14-gen-09;03:00;55
14-gen-09;04:00;40
14-gen-09;05:00;24
14-gen-09;06:00;14
14-gen-09;07:00;10
14-gen-09;08:00;14
14-gen-09;09:00;25
14-gen-09;10:00;40
14-gen-09;11:00;50
14-gen-09;12:00;54
14-gen-09;13:00;53
14-gen-09;14:00;39
14-gen-09;15:00;21
14-gen-09;16:00;2
14-gen-09;17:00;-15
14-gen-09;18:00;-27
14-gen-09;19:00;-31
14-gen-09;20:00;-21
14-gen-09;21:00;-2
14-gen-09;22:00;20
14-gen-09;23:00;38
15-gen-09;00:00;55
15-gen-09;01:00;66
15-gen-09;02:00;71
15-gen-09;03:00;66
15-gen-09;04:00;53
15-gen-09;05:00;37
15-gen-09;06:00;24
15-gen-09;07:00;14
15-gen-09;08:00;8
15-gen-09;09:00;11
15-gen-09;10:00;20
15-gen-09;11:00;31
15-gen-09;12:00;39
15-gen-09;13:00;41
15-gen-09;14:00;34
15-gen-09;15:00;21
15-gen-09;16:00;6
15-gen-09;17:00;-8
15-gen-09;18:00;-20
15-gen-09;19:00;-26
15-gen-09;20:00;-22
15-gen-09;21:00;-9
15-gen-09;22:00;9
15-gen-09;23:00;26
16-gen-09;00:00;41
16-gen-09;01:00;51
16-gen-09;02:00;57
16-gen-09;03:00;55
16-gen-09;04:00;44
16-gen-09;05:00;28
16-gen-09;06:00;14
16-gen-09;07:00;2
16-gen-09;08:00;-6
16-gen-09;09:00;-8
16-gen-09;10:00;-2
16-gen-09;11:00;9
16-gen-09;12:00;17
16-gen-09;13:00;21
16-gen-09;14:00;19
16-gen-09;15:00;11
16-gen-09;16:00;-2
16-gen-09;17:00;-14
16-gen-09;18:00;-22
16-gen-09;19:00;-27
16-gen-09;20:00;-25
16-gen-09;21:00;-15
16-gen-09;22:00;0
16-gen-09;23:00;15
17-gen-09;00:00;29
17-gen-09;01:00;40
17-gen-09;02:00;47
17-gen-09;03:00;50
17-gen-09;04:00;44
17-gen-09;05:00;33
17-gen-09;06:00;20
17-gen-09;07:00;9
17-gen-09;08:00;2
17-gen-09;09:00;-1
17-gen-09;10:00;0
17-gen-09;11:00;5
17-gen-09;12:00;12
17-gen-09;13:00;15
17-gen-09;14:00;14
17-gen-09;15:00;10
17-gen-09;16:00;4
17-gen-09;17:00;-3
17-gen-09;18:00;-6
17-gen-09;19:00;-5
17-gen-09;20:00;-4
17-gen-09;21:00;2
17-gen-09;22:00;12
17-gen-09;23:00;23
18-gen-09;00:00;32
18-gen-09;01:00;42
18-gen-09;02:00;49
18-gen-09;03:00;52
18-gen-09;04:00;50
18-gen-09;05:00;44
18-gen-09;06:00;33
18-gen-09;07:00;23
18-gen-09;08:00;13
18-gen-09;09:00;7
18-gen-09;10:00;2
18-gen-09;11:00;1
18-gen-09;12:00;1
18-gen-09;13:00;3
18-gen-09;14:00;5
18-gen-09;15:00;7
18-gen-09;16:00;10
18-gen-09;17:00;13
18-gen-09;18:00;17
18-gen-09;19:00;19
18-gen-09;20:00;24
18-gen-09;21:00;31
18-gen-09;22:00;35
18-gen-09;23:00;41
19-gen-09;00:00;48
19-gen-09;01:00;52
19-gen-09;02:00;56
19-gen-09;03:00;56
19-gen-09;04:00;55
19-gen-09;05:00;48
19-gen-09;06:00;41
19-gen-09;07:00;36
19-gen-09;08:00;26
19-gen-09;09:00;16
19-gen-09;10:00;5
19-gen-09;11:00;-3
19-gen-09;12:00;-10
19-gen-09;13:00;-14
19-gen-09;14:00;-12
19-gen-09;15:00;-6
19-gen-09;16:00;2
19-gen-09;17:00;14
19-gen-09;18:00;25
19-gen-09;19:00;32
19-gen-09;20:00;38
19-gen-09;21:00;43
19-gen-09;22:00;46
19-gen-09;23:00;47
20-gen-09;00:00;46
20-gen-09;01:00;50
20-gen-09;02:00;55
20-gen-09;03:00;59
20-gen-09;04:00;62
20-gen-09;05:00;64
20-gen-09;06:00;63
20-gen-09;07:00;58
20-gen-09;08:00;50
20-gen-09;09:00;43
20-gen-09;10:00;36
20-gen-09;11:00;28
20-gen-09;12:00;21
20-gen-09;13:00;18
20-gen-09;14:00;20
20-gen-09;15:00;28
20-gen-09;16:00;37
20-gen-09;17:00;48
20-gen-09;18:00;58
20-gen-09;19:00;64
20-gen-09;20:00;71
20-gen-09;21:00;74
20-gen-09;22:00;75
20-gen-09;23:00;70
21-gen-09;00:00;62
21-gen-09;01:00;55
21-gen-09;02:00;48
21-gen-09;03:00;45
21-gen-09;04:00;47
21-gen-09;05:00;50
21-gen-09;06:00;51
21-gen-09;07:00;53
21-gen-09;08:00;51
21-gen-09;09:00;45
21-gen-09;10:00;35
21-gen-09;11:00;26
21-gen-09;12:00;16
21-gen-09;13:00;9
21-gen-09;14:00;6
21-gen-09;15:00;7
21-gen-09;16:00;14
21-gen-09;17:00;24
21-gen-09;18:00;38
21-gen-09;19:00;49
21-gen-09;20:00;57
21-gen-09;21:00;62
21-gen-09;22:00;63
21-gen-09;23:00;59
22-gen-09;00:00;49
22-gen-09;01:00;39
22-gen-09;02:00;31
22-gen-09;03:00;28
22-gen-09;04:00;27
22-gen-09;05:00;32
22-gen-09;06:00;40
22-gen-09;07:00;47
22-gen-09;08:00;52
22-gen-09;09:00;53
22-gen-09;10:00;49
22-gen-09;11:00;40
22-gen-09;12:00;29
22-gen-09;13:00;16
22-gen-09;14:00;5
22-gen-09;15:00;-2
22-gen-09;16:00;-2
22-gen-09;17:00;4
22-gen-09;18:00;15
22-gen-09;19:00;31
22-gen-09;20:00;43
22-gen-09;21:00;51
22-gen-09;22:00;55
22-gen-09;23:00;53
23-gen-09;00:00;42
23-gen-09;01:00;30
23-gen-09;02:00;22
23-gen-09;03:00;16
23-gen-09;04:00;18
23-gen-09;05:00;25
23-gen-09;06:00;37
23-gen-09;07:00;53
23-gen-09;08:00;64
23-gen-09;09:00;70
23-gen-09;10:00;69
23-gen-09;11:00;58
23-gen-09;12:00;43
23-gen-09;13:00;26
23-gen-09;14:00;12
23-gen-09;15:00;3
23-gen-09;16:00;-3
23-gen-09;17:00;4
23-gen-09;18:00;19
23-gen-09;19:00;38
23-gen-09;20:00;53
23-gen-09;21:00;66
23-gen-09;22:00;74
23-gen-09;23:00;73
24-gen-09;00:00;64
24-gen-09;01:00;51
24-gen-09;02:00;40
24-gen-09;03:00;32
24-gen-09;04:00;31
24-gen-09;05:00;39
24-gen-09;06:00;54
24-gen-09;07:00;66
24-gen-09;08:00;77
24-gen-09;09:00;85
24-gen-09;10:00;84
24-gen-09;11:00;74
24-gen-09;12:00;57
24-gen-09;13:00;40
24-gen-09;14:00;21
24-gen-09;15:00;4
24-gen-09;16:00;-3
24-gen-09;17:00;-3
24-gen-09;18:00;12
24-gen-09;19:00;35
24-gen-09;20:00;54
24-gen-09;21:00;72
24-gen-09;22:00;85
24-gen-09;23:00;92
25-gen-09;00:00;91
25-gen-09;01:00;80
25-gen-09;02:00;68
25-gen-09;03:00;61
25-gen-09;04:00;57
25-gen-09;05:00;64
25-gen-09;06:00;76
25-gen-09;07:00;87
25-gen-09;08:00;95
25-gen-09;09:00;96
25-gen-09;10:00;91
25-gen-09;11:00;79
25-gen-09;12:00;62
25-gen-09;13:00;45
25-gen-09;14:00;27
25-gen-09;15:00;12
25-gen-09;16:00;2
25-gen-09;17:00;2
25-gen-09;18:00;14
25-gen-09;19:00;34
