,cum_power,Elec_kW,Gas_mxm
2011-10-26,0.1,15.1,9.0
2011-10-27,10.2,7.4,9.2
2011-10-28,20.2,5.8,8.0
2011-10-29,29.6,4.9,6.6
2011-10-30,34.2,11.7,5.3
2011-10-31,38.0,11.0,5.7
2011-11-01,46.6,3.5,5.3
2011-11-02,51.6,10.5,5.4
2011-11-03,58.6,6.9,7.6
2011-11-04,60.5,10.3,5.5
2011-11-05,65.7,12.0,5.2
2011-11-06,71.8,11.9,4.8
2011-11-07,73.3,16.7,5.3
2011-11-08,73.8,11.1,7.3
2011-11-09,76.1,13.0,8.3
2011-11-10,82.5,7.6,7.2
2011-11-11,89.1,8.9,10.5
2011-11-12,95.5,12.9,10.2
2011-11-13,99.9,10.7,10.7
2011-11-14,101.4,10.2,9.9
2011-11-15,109.1,7.2,11.4
2011-11-16,116.0,9.4,13.6
2011-11-17,122.3,10.1,16.1
2011-11-18,124.3,14.6,12.8
2011-11-19,130.5,8.4,10.3
2011-11-20,136.5,12.2,12.6
2011-11-21,142.5,17.7,12.8
2011-11-22,145.0,11.5,13.4
2011-11-23,148.3,13.5,11.9
2011-11-24,149.8,13.0,9.7
2011-11-25,151.7,17.8,12.6
2011-11-26,152.4,16.9,11.3
2011-11-27,156.1,12.6,12.6
2011-11-28,157.4,14.5,12.5
2011-11-29,163.9,9.1,10.7
2011-11-30,165.3,17.0,13.4
2011-12-01,170.7,9.9,11.0
2011-12-02,172.1,16.9,10.6
2011-12-03,174.7,14.1,14.4
2011-12-04,175.3,18.7,12.7
2011-12-05,176.3,15.6,10.7
2011-12-06,178.8,8.5,15.0
2011-12-07,180.5,16.0,15.7
2011-12-08,182.0,13.9,15.4
2011-12-09,183.6,15.6,15.4
2011-12-10,188.4,11.5,15.2
2011-12-11,192.6,14.4,15.4
2011-12-12,195.0,12.0,15.5
2011-12-13,197.8,13.7,14.2
2011-12-14,199.1,15.2,13.7
2011-12-15,200.1,19.5,16.2
2011-12-16,201.6,14.1,15.8
2011-12-17,201.8,17.0,17.3
2011-12-18,205.4,17.0,17.8
2011-12-19,209.7,16.6,16.0
2011-12-20,211.6,15.5,20.1
2011-12-21,214.4,12.4,14.4
2011-12-22,215.3,17.5,14.2
2011-12-23,216.2,18.4,12.9
2011-12-24,217.4,14.3,11.1
2011-12-25,219.7,10.9,12.4
2011-12-26,220.3,14.2,14.1
2011-12-27,220.7,14.6,11.5
2011-12-28,221.2,17.0,11.4
2011-12-29,221.7,9.3,12.7
2011-12-30,222.6,15.3,15.4
2011-12-31,226.2,11.5,15.2
2012-01-01,226.7,16.0,13.6
2012-01-02,227.5,18.8,10.6
